Time,c2_system.prob,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.state_level,c2_system.total,c2_system.D
0.000000,1.000000,39.000000,0.000000,0.000000,0.000000,39.000000,0.000000
0.100000,1.000000,39.000040,0.002151,0.000000,0.000000,39.000042,0.000000
0.200000,1.000000,39.001271,0.032111,0.000000,0.000000,39.001302,0.000000
0.300000,1.000000,39.009111,0.148626,0.000000,0.000000,39.009258,0.000000
0.400000,1.000000,39.035809,0.427303,0.000000,0.000000,39.036232,0.000000
0.500000,1.000000,39.101423,0.947088,0.000000,0.000000,39.102364,0.000000
0.600000,1.000000,39.233691,1.781137,0.000000,0.000000,39.235462,0.000000
0.700000,1.000000,39.467138,2.991044,0.000000,0.000000,39.470115,0.000000
0.800000,1.000000,39.841751,4.623591,0.000000,0.000000,39.846356,0.000000
0.900000,1.000000,40.401413,6.709360,0.000000,0.000000,40.408101,0.000000
1.000000,1.000000,41.192273,9.262692,0.000000,0.000000,41.201512,0.000000
1.100000,1.000000,42.261160,12.282565,0.000000,0.000000,42.273420,0.000000
1.200000,1.000000,43.654110,15.754085,0.000000,0.000000,43.669849,0.000000
1.300000,1.000000,45.415069,19.650345,0.000000,0.000000,45.434723,0.000001
1.400000,1.000000,47.584790,23.934458,0.000000,0.000000,47.608765,0.000001
1.500000,1.000000,50.199932,28.561633,1.000000,0.000000,50.228601,0.000002
1.600000,1.000000,53.292368,33.481205,1.000000,0.000000,53.326070,0.000004
1.700000,1.000000,56.888689,38.638509,1.000000,0.000000,56.927731,0.000007
1.800000,1.000000,61.009888,43.976570,1.000000,0.000000,61.054551,0.000011
1.900000,1.000000,65.671197,49.437593,1.000000,0.000000,65.721744,0.000018
2.000000,1.000000,70.882071,54.964280,1.000000,0.000000,70.938763,0.000027
2.100000,1.000000,76.646293,60.500953,1.000000,0.000000,76.709398,0.000040
2.200000,1.000000,82.962177,65.994487,1.000000,0.000000,83.031996,0.000058
2.300000,1.000000,89.822860,71.395064,1.000000,0.000000,89.899746,0.000083
2.400000,1.000000,97.216664,76.656750,1.000000,0.000000,97.301043,0.000117
