Time,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.total,c2_system.D
0.000000,58.208955,0.000000,0.000000,39.000000,0.000000
0.100000,58.208978,0.001231,0.000000,39.000015,0.000000
0.200000,58.210226,0.025685,0.000000,39.000852,0.000000
0.300000,58.219706,0.131430,0.000000,39.007203,0.000000
0.400000,58.254651,0.396513,0.000000,39.030616,0.000000
0.500000,58.344431,0.903975,0.000000,39.090769,0.000000
0.600000,58.530562,1.731679,0.000000,39.215477,0.000000
0.700000,58.865460,2.945838,0.000000,39.439859,0.000000
0.800000,59.410425,4.597309,0.000000,39.804985,0.000000
0.900000,60.233212,6.719945,0.000000,40.356253,0.000000
1.000000,61.405472,9.330423,0.000000,41.141669,0.000000
1.100000,63.000232,12.429095,0.000000,42.210162,0.000000
1.200000,65.089553,16.001518,0.000000,43.610017,0.000000
1.300000,67.742452,20.020392,0.000000,45.387477,0.000001
1.400000,71.023116,24.447700,0.000000,47.585557,0.000001
1.500000,74.989459,29.236913,0.000000,50.243066,0.000002
1.600000,79.691987,34.335131,0.000000,53.393858,0.000003
1.700000,85.172985,39.685114,0.000000,57.066288,0.000006
1.800000,91.465997,45.227124,0.000000,61.282855,0.000010
1.900000,98.595558,50.900575,0.000000,66.060038,0.000015
2.000000,106.577168,56.645460,0.000000,71.408269,0.000023
2.100000,115.417454,62.403563,0.000000,77.332054,0.000035
2.200000,125.114511,68.119456,0.000000,83.830194,0.000052
2.300000,135.658362,73.741289,0.000000,90.896101,0.000075
2.400000,147.031539,79.221402,0.000000,98.518189,0.000105
2.500000,159.209732,84.516761,0.000000,106.680310,0.000146
2.600000,172.162498,89.589244,0.000000,115.362230,0.000199
2.700000,185.854005,94.405794,0.000000,124.540134,0.000268
2.800000,200.243787,98.938459,0.000000,134.187128,0.000355
2.900000,215.287501,103.164335,0.000000,144.273750,0.000465
3.000000,230.937673,107.065428,0.000000,154.768474,0.000600
3.100000,247.144411,110.628456,0.000000,165.638185,0.000768
3.200000,263.856093,113.844591,0.000000,176.848644,0.000971
3.300000,281.020013,116.709172,0.000000,188.364919,0.001217
3.400000,298.582978,119.221384,0.000000,200.151786,0.001510
3.500000,316.491859,121.383924,0.000000,212.174104,0.001859
3.600000,334.694092,123.202651,0.000000,224.397144,0.002270
3.700000,353.138127,124.686237,0.000000,236.786893,0.002751
3.800000,371.773819,125.845824,0.000000,249.310319,0.003311
3.900000,390.552781,126.694681,0.000000,261.935604,0.003959
4.000000,409.428672,127.247879,0.000000,274.632339,0.004703
4.100000,428.357446,127.521979,0.000000,287.371692,0.005555
4.200000,447.297554,127.534737,0.000000,300.126544,0.006525
4.300000,466.210103,127.304827,0.000000,312.871595,0.007624
4.400000,485.058970,126.851585,0.000000,325.583444,0.008865
4.500000,503.810887,126.194772,0.000000,338.240643,0.010259
4.600000,522.435484,125.354361,0.000000,350.823734,0.011820
4.700000,540.905307,124.350343,0.000000,363.315256,0.013563
4.800000,559.195806,123.202550,0.000000,375.699745,0.015501
4.900000,577.285292,121.930503,0.000000,387.963704,0.017650
5.000000,595.154883,120.553281,0.000000,400.095569,0.020027
5.100000,612.788423,119.089396,0.000000,412.085663,0.022648
5.200000,630.172387,117.556703,0.000000,423.926127,0.025532
5.300000,647.295770,115.972311,0.000000,435.610858,0.028697
5.400000,664.149967,114.352515,0.000000,447.135425,0.032163
5.500000,680.728645,112.712747,0.000000,458.496991,0.035952
5.600000,697.027603,111.067530,0.000000,469.694218,0.040085
5.700000,713.044627,109.430452,0.000000,480.727182,0.044586
5.800000,728.779352,107.814146,0.000000,491.597272,0.049479
5.900000,744.233106,106.230280,0.000000,502.307100,0.054790
6.000000,759.408765,104.689562,0.000000,512.860398,0.060545
6.100000,774.310607,103.201740,4.000000,523.261928,0.066773
6.200000,788.944163,101.775559,4.000000,533.517382,0.073504
6.300000,803.316042,100.418328,4.000000,543.633269,0.080769
6.400000,817.433674,99.135320,4.000000,553.616738,0.088600
6.500000,831.304978,97.929462,4.000000,563.475364,0.097030
6.600000,844.938007,96.801279,4.000000,573.216906,0.106096
6.700000,858.340597,95.749021,4.000000,582.849068,0.115834
6.800000,871.520046,94.768907,4.000000,592.379290,0.126281
6.900000,884.482832,93.855428,4.000000,601.814551,0.137478
7.000000,897.234382,93.001698,4.000000,611.161215,0.149465
7.100000,909.778900,92.199796,4.000000,620.424906,0.162284
7.200000,922.119236,91.441106,4.000000,629.610425,0.175978
7.300000,934.256815,90.716628,4.000000,638.721689,0.190591
7.400000,946.191608,90.017260,4.000000,647.761711,0.206169
7.500000,957.922140,89.334039,4.000000,656.732595,0.222758
7.600000,969.445544,88.658350,4.000000,665.635565,0.240404
7.700000,980.757627,87.982092,4.000000,674.471005,0.259155
7.800000,991.852977,87.297810,4.000000,683.238516,0.279060
7.900000,1002.725076,86.598791,4.000000,691.936989,0.300167
8.000000,1013.366435,85.879134,4.000000,700.564676,0.322525
8.100000,1023.768725,85.133786,4.000000,709.119279,0.346183
8.200000,1033.922933,84.358562,4.000000,717.598034,0.371189
8.300000,1043.819497,83.550136,4.000000,725.997797,0.397593
8.400000,1053.448457,82.706023,4.000000,734.315128,0.425443
8.500000,1062.799592,81.824542,4.000000,742.546376,0.454786
8.600000,1071.862557,80.904770,4.000000,750.687759,0.485669
8.700000,1080.627008,79.946490,4.000000,758.735430,0.518139
8.800000,1089.082722,78.950127,4.000000,766.685554,0.552241
8.900000,1097.219705,77.916688,4.000000,774.534362,0.588017
9.000000,1105.028291,76.847695,4.000000,782.278212,0.625511
9.100000,1112.499233,75.745116,4.000000,789.913633,0.664763
9.200000,1119.623776,74.611303,4.000000,797.437370,0.705813
9.300000,1126.393733,73.448927,4.000000,804.846418,0.748696
9.400000,1132.801534,72.260917,4.000000,812.138049,0.793448
9.500000,1138.840283,71.050400,4.000000,819.309839,0.840102
9.600000,1144.503790,69.820649,4.000000,826.359686,0.888689
9.700000,1149.786604,68.575034,4.000000,833.285815,0.939236
9.800000,1154.684035,67.316971,4.000000,840.086794,0.991769
9.900000,1159.192167,66.049888,4.000000,846.761532,1.046310
10.000000,1163.307869,64.777181,4.000000,853.309282,1.102881
10.100000,1167.028789,63.502186,4.000000,859.729631,1.161498
10.200000,1170.353356,62.228147,4.000000,866.022496,1.222175
10.300000,1173.280766,60.958193,4.000000,872.188117,1.284925
10.400000,1175.810969,59.695320,4.000000,878.227037,1.349757
10.500000,1177.944649,58.442368,4.000000,884.140093,1.416674
10.600000,1179.683203,57.202013,4.000000,889.928399,1.485681
10.700000,1181.028716,55.976754,4.000000,895.593329,1.556777
10.800000,1181.983931,54.768905,4.000000,901.136499,1.629959
10.900000,1182.552225,53.580591,4.000000,906.559746,1.705220
11.000000,1182.737569,52.413745,4.000000,911.865112,1.782551
11.100000,1182.544504,51.270107,4.000000,917.054825,1.861940
11.200000,1181.978103,50.151225,4.000000,922.131276,1.943372
11.300000,1181.043938,49.058459,4.000000,927.097003,2.026829
11.400000,1179.748044,47.992984,4.000000,931.954673,2.112291
11.500000,1178.096889,46.955797,4.000000,936.707061,2.199734
11.600000,1176.097334,45.947719,4.000000,941.357034,2.289132
11.700000,1173.756604,44.969410,4.000000,945.907534,2.380457
11.800000,1171.082251,44.021369,4.000000,950.361562,2.473678
11.900000,1168.082125,43.103946,4.000000,954.722161,2.568763
12.000000,1164.764340,42.217352,4.000000,958.992404,2.665676
12.100000,1161.137243,41.361664,4.000000,963.175379,2.764379
12.200000,1157.209385,40.536838,4.000000,967.274174,2.864834
12.300000,1152.989492,39.742715,4.000000,971.291870,2.966999
12.400000,1148.486438,38.979033,4.000000,975.231526,3.070830
12.500000,1143.709219,38.245435,4.000000,979.096171,3.176283
12.600000,1138.666927,37.541475,4.000000,982.888793,3.283313
12.700000,1133.368728,36.866631,4.000000,986.612335,3.391870
12.800000,1127.823837,36.220310,4.000000,990.269681,3.501906
12.900000,1122.041500,35.601859,4.000000,993.863655,3.613371
13.000000,1116.030971,35.010569,4.000000,997.397011,3.726213
13.100000,1109.801497,34.445686,4.000000,1000.872434,3.840380
13.200000,1103.362298,33.906415,4.000000,1004.292527,3.955818
13.300000,1096.722552,33.391928,4.000000,1007.659816,4.072473
13.400000,1089.891379,32.901371,4.000000,1010.976740,4.190291
13.500000,1082.877830,32.433868,4.000000,1014.245653,4.309217
13.600000,1075.690872,31.988528,4.000000,1017.468820,4.429193
13.700000,1068.339376,31.564447,4.000000,1020.648418,4.550165
13.800000,1060.832110,31.160717,4.000000,1023.786531,4.672075
13.900000,1053.177725,30.776429,4.000000,1026.885153,4.794867
14.000000,1045.384749,30.410673,4.000000,1029.946187,4.918484
14.100000,1037.461580,30.062547,4.000000,1032.971447,5.042868
