Time,covidsim_system.S,covidsim_system.E1,covidsim_system.E2,covidsim_system.P1,covidsim_system.P2,covidsim_system.I1,covidsim_system.I2,covidsim_system.L1,covidsim_system.L2,covidsim_system.R,covidsim_system.D,covidsim_system.prob,covidsim_system.cases,covidsim_system.C_dot
0.000000,4820875.800000,904.800000,0.000000,226.200000,0.000000,226.200000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
0.100000,4820869.326497,888.833964,22.187954,204.816192,20.670263,224.910665,2.244335,0.010102,0.000027,0.000000,0.000000,0.473363,0.965130,20.670263
0.200000,4820862.833416,873.282019,43.437324,185.997102,37.434021,225.511236,4.462313,0.042313,0.000254,0.000001,0.000000,0.473363,3.816118,37.434021
0.300000,4820856.301856,858.152613,63.781651,169.475428,50.898106,227.621960,6.671254,0.096230,0.000897,0.000006,0.000000,0.473363,8.190346,50.898106
0.400000,4820849.715812,843.451119,83.253820,155.010224,61.586942,230.923485,8.884800,0.171611,0.002167,0.000020,0.000000,0.473363,13.782082,61.586942
0.500000,4820843.061740,829.180350,101.886005,142.384359,69.952835,235.148530,11.113523,0.268338,0.004270,0.000050,0.000000,0.473363,20.334711,69.952835
0.600000,4820836.328170,815.340993,119.709630,131.402227,76.385040,240.074604,13.365432,0.386388,0.007411,0.000106,0.000000,0.473363,27.633941,76.385040
0.700000,4820829.505382,801.931993,136.755339,121.887666,81.217755,245.517647,15.646419,0.525807,0.011792,0.000199,0.000000,0.473363,35.501864,81.217755
0.800000,4820822.585122,788.950870,153.052978,113.682083,84.737166,251.326495,17.960639,0.686692,0.017613,0.000341,0.000001,0.473363,43.791781,84.737166
0.900000,4820815.560361,776.393995,168.631577,106.642753,87.187636,257.378051,20.310828,0.869174,0.025075,0.000549,0.000001,0.473363,52.383678,87.187636
1.000000,4820808.425084,764.256825,183.519350,100.641284,88.777155,263.573099,22.698581,1.073403,0.034377,0.000840,0.000002,0.473363,61.180301,88.777155
1.100000,4820801.174121,752.534098,197.743693,95.562227,89.682127,269.832658,25.124584,1.299540,0.045718,0.001232,0.000002,0.473363,70.103735,89.682127
1.200000,4820793.802985,741.220001,211.331187,91.301815,90.051572,276.094838,27.588806,1.547750,0.059295,0.001747,0.000004,0.473363,79.092440,90.051572
1.300000,4820786.307756,730.308309,224.307608,87.766832,90.010807,282.312104,30.090670,1.818190,0.075308,0.002409,0.000005,0.473363,88.098686,90.010807
1.400000,4820778.684966,719.792505,236.697939,84.873583,89.664682,288.448929,32.629185,2.111009,0.093955,0.003242,0.000007,0.473363,97.086326,89.664682
1.500000,4820770.931507,709.665872,248.526378,82.546961,89.100400,294.479763,35.203063,2.426344,0.115432,0.004273,0.000009,0.473363,106.028883,89.100400
1.600000,4820763.044560,699.921576,259.816361,80.719614,88.389990,300.387290,37.810813,2.764317,0.139935,0.005533,0.000011,0.473363,114.907898,88.389990
1.700000,4820755.021530,690.552733,270.590574,79.331181,87.592467,306.160938,40.450818,3.125031,0.167661,0.007051,0.000014,0.473363,123.711514,87.592467
1.800000,4820746.859991,681.552461,280.870971,78.327606,86.755712,311.795602,43.121398,3.508575,0.198805,0.008861,0.000018,0.473363,132.433259,86.755712
1.900000,4820738.557643,672.913920,290.678795,77.660520,85.918113,317.290554,45.820858,3.915018,0.233559,0.010999,0.000022,0.473363,141.071009,85.918113
2.000000,4820730.112279,664.630351,300.034593,77.286679,85.109993,322.648523,48.547528,4.344411,0.272117,0.013499,0.000027,0.473363,149.626106,85.109993
2.100000,4820721.521755,656.695100,308.958242,77.167455,84.354844,327.874912,51.299798,4.796790,0.314668,0.016403,0.000033,0.473363,158.102605,84.354844
2.200000,4820712.783966,649.101635,317.468960,77.268386,83.670406,332.977146,54.076134,5.272174,0.361403,0.019750,0.000040,0.473363,166.506646,83.670406
2.300000,4820703.896832,641.843567,325.585335,77.558754,83.069594,337.964114,56.875099,5.770567,0.412508,0.023582,0.000047,0.473363,174.845918,83.069594
2.400000,4820694.858279,634.914654,333.325335,78.011217,82.561302,342.845718,59.695365,6.291960,0.468170,0.027945,0.000056,0.473363,183.129214,82.561302
2.500000,4820685.666229,628.308814,340.706333,78.601470,82.151095,347.632493,62.535717,6.836328,0.528570,0.032885,0.000066,0.473363,191.366060,82.151095
2.600000,4820676.318596,622.020122,347.745124,79.307942,81.841803,352.335294,65.395061,7.403640,0.593892,0.038449,0.000077,0.473363,199.566413,81.841803
2.700000,4820666.813278,616.042818,354.457942,80.111518,81.634035,356.965047,68.272419,7.993851,0.664314,0.044688,0.000090,0.473363,207.740409,81.634035
2.800000,4820657.148153,610.371303,360.860482,80.995295,81.526609,361.532546,71.166935,8.606908,0.740013,0.051653,0.000104,0.473363,215.898159,81.526609
2.900000,4820647.321078,605.000134,366.967911,81.944354,81.516931,366.048294,74.077864,9.242752,0.821164,0.059398,0.000120,0.473363,224.049592,81.516931
3.000000,4820637.329888,599.924030,372.794890,82.945559,81.601309,370.522379,77.004575,9.901315,0.907939,0.067979,0.000137,0.473363,232.204324,81.601309
3.100000,4820627.172397,595.137858,378.355589,83.987378,81.775217,374.964382,79.946538,10.582528,1.000508,0.077451,0.000156,0.473363,240.371562,81.775217
3.200000,4820616.846396,590.636634,383.663701,85.059712,82.033524,379.383309,82.903324,11.286313,1.099038,0.087873,0.000177,0.473363,248.560034,82.033524
3.300000,4820606.349659,586.415515,388.732460,86.153751,82.370684,383.787546,85.874593,12.012592,1.203695,0.099306,0.000200,0.473363,256.777932,82.370684
