Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,355.000000,64.000000
1.000000,50.036390,0.000000,108.398830,0.060001,500.363899,102.398736
2.000000,52.092768,0.000000,160.004795,0.120062,520.927679,147.998591
3.000000,50.816678,0.000000,211.525325,0.180636,508.166778,193.461736
4.000000,50.071468,0.000000,261.843185,0.243427,500.714682,237.500483
5.000000,51.165042,0.000000,312.295297,0.313189,511.650418,280.976425
6.000000,135.009698,4.000000,455.500345,0.399397,450.032327,415.560675
7.000000,124.902059,4.000000,584.992561,0.515493,416.340198,533.443287
8.000000,117.741498,4.000000,706.276437,0.675655,392.471660,638.710908
9.000000,109.567641,4.000000,820.113100,0.892757,365.225469,730.837423
10.000000,99.068204,4.000000,924.624089,1.180447,330.227348,806.579433
11.000000,86.847636,4.000000,1017.680444,1.555757,289.492121,862.104730
12.000000,74.180990,4.000000,1098.185615,2.036915,247.269965,894.494149
13.000000,62.186510,4.000000,1166.284232,2.636737,207.288368,902.610515
14.000000,51.531981,4.000000,1223.021427,3.356304,171.773269,887.390978
15.000000,42.463151,4.000000,1269.889719,4.182575,141.543837,851.632199
16.000000,34.945278,4.000000,1308.474521,5.090383,116.484260,799.436197
17.000000,28.801782,4.000000,1340.245682,6.047104,96.005940,735.535306
18.000000,23.810189,4.000000,1366.467503,7.017937,79.367296,664.673773
19.000000,19.754926,4.000000,1388.182346,7.970407,65.849755,591.141664
20.000000,16.449743,4.000000,1406.230670,8.877442,54.832476,518.486451
21.000000,13.742856,4.000000,1421.283915,9.718975,45.809520,449.386431
22.000000,11.514115,4.000000,1433.877942,10.482260,38.380384,385.651959
23.000000,9.669518,4.000000,1444.442003,11.161266,32.231727,328.315415
24.000000,8.135629,4.000000,1453.322062,11.755498,27.118764,277.772297
25.000000,6.854844,4.000000,1460.798904,12.268577,22.849481,233.941179
26.000000,5.781670,4.000000,1467.102029,12.706839,19.272235,196.418095
27.000000,4.879896,4.000000,1472.420286,13.078107,16.266319,164.609636
28.000000,3.017093,3.000000,1475.559990,13.390728,15.085464,136.487181
29.000000,2.772868,3.000000,1478.455000,13.652899,13.864340,113.165140
30.000000,2.539975,3.000000,1481.109802,13.872224,12.699877,93.887428
31.000000,2.333749,3.000000,1483.544197,14.055462,11.668743,77.997948
32.000000,2.158378,3.000000,1485.787874,14.208387,10.791892,64.949224
33.000000,2.009408,3.000000,1487.869947,14.335778,10.047038,54.292196
34.000000,1.879306,3.000000,1489.813106,14.441583,9.396530,45.654778
35.000000,1.761401,3.000000,1491.632721,14.529158,8.807007,38.716954
36.000000,1.651323,3.000000,1493.338607,14.601467,8.256613,33.191907
37.000000,1.546854,3.000000,1494.937328,14.661195,7.734269,28.817849
38.000000,1.447208,3.000000,1496.434016,14.710754,7.236039,25.358657
39.000000,1.352302,3.000000,1497.833420,14.752252,6.761511,22.608238
40.000000,1.262203,3.000000,1499.140316,14.787462,6.311016,20.394121
41.000000,1.176916,3.000000,1500.359518,14.817814,5.884581,18.578086
42.000000,1.096435,3.000000,1501.495834,14.844420,5.482177,17.053866
43.000000,1.020760,3.000000,1502.554069,14.868112,5.103800,15.742868
44.000000,0.949854,3.000000,1503.539018,14.889500,4.749268,14.588971
45.000000,0.883611,3.000000,1504.455401,14.909021,4.418055,13.553313
46.000000,0.645990,2.000000,1505.110653,14.926982,4.306597,12.412501
47.000000,0.627090,2.000000,1505.747277,14.943600,4.180602,11.387248
48.000000,0.609046,2.000000,1506.365141,14.959033,4.060307,10.461876
49.000000,0.594709,2.000000,1506.966646,14.973388,3.964727,9.627860
50.000000,0.584982,2.000000,1507.556128,14.986734,3.899883,8.882705
51.000000,0.579068,2.000000,1508.137897,14.999104,3.860452,8.227469
52.000000,0.575505,2.000000,1508.715050,15.010511,3.836702,7.663901
53.000000,0.572980,2.000000,1509.289250,15.020975,3.819867,7.191747
54.000000,0.570644,2.000000,1509.861070,15.030540,3.804290,6.807064
55.000000,0.568097,2.000000,1510.430466,15.039285,3.787314,6.501984
56.000000,0.565243,2.000000,1510.997163,15.047315,3.768290,6.265691
57.000000,0.562132,2.000000,1511.560870,15.054749,3.747549,6.085943
58.000000,0.558856,2.000000,1512.121376,15.061708,3.725706,5.950556
59.000000,0.555496,2.000000,1512.678558,15.068301,3.703305,5.848484
60.000000,0.552106,2.000000,1513.232361,15.074619,3.680707,5.770418
61.000000,0.548717,2.000000,1513.782774,15.080738,3.658110,5.708970
62.000000,0.545340,2.000000,1514.329802,15.086712,3.635599,5.658582
63.000000,0.541980,2.000000,1514.873462,15.092582,3.613201,5.615270
64.000000,0.538638,2.000000,1515.413772,15.098375,3.590921,5.576305
65.000000,0.535314,2.000000,1515.950748,15.104108,3.568758,5.539911
66.000000,0.532007,2.000000,1516.484408,15.109794,3.546715,5.504981
67.000000,0.528719,2.000000,1517.014772,15.115439,3.524793,5.470866
68.000000,0.525450,2.000000,1517.541856,15.121046,3.502998,5.437209
69.000000,0.522200,2.000000,1518.065681,15.126619,3.481333,5.403826
70.000000,0.518970,2.000000,1518.586266,15.132156,3.459799,5.370635
71.000000,0.515760,2.000000,1519.103630,15.137660,3.438398,5.337606
72.000000,0.358001,1.000000,1519.455169,15.143131,3.580012,5.142108
73.000000,0.371363,1.000000,1519.819823,15.148568,3.713627,4.963070
74.000000,0.386640,1.000000,1520.198518,15.153971,3.866404,4.801463
75.000000,0.406742,1.000000,1520.594716,15.159335,4.067418,4.661226
76.000000,0.432854,1.000000,1521.014001,15.164643,4.328541,4.549660
77.000000,0.464513,1.000000,1521.462252,15.169861,4.645129,4.476115
