Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,350.000000,64.000000
1.000000,49.583848,0.000000,107.923434,0.060001,495.838477,101.923341
2.000000,51.680799,0.000000,159.097935,0.120062,516.807987,147.091736
3.000000,50.431444,0.000000,210.221328,0.180634,504.314438,192.157923
4.000000,49.693207,0.000000,260.159173,0.243407,496.932071,235.818434
5.000000,50.774220,0.000000,310.228215,0.313084,507.742198,278.919766
6.000000,53.664500,0.000000,362.313911,0.399038,536.645002,322.410078
7.000000,144.628008,4.000000,514.286531,0.514565,482.093359,462.830070
8.000000,134.923381,4.000000,653.713031,0.673393,449.744603,586.373728
9.000000,127.134029,4.000000,784.763551,0.885937,423.780097,696.169869
10.000000,117.856352,4.000000,907.463598,1.159239,392.854506,791.539697
11.000000,106.124752,4.000000,1019.648792,1.501996,353.749174,869.449185
12.000000,92.729740,4.000000,1119.165611,1.929191,309.099132,926.246486
13.000000,79.028899,4.000000,1205.023028,2.460087,263.429664,959.014370
14.000000,66.163006,4.000000,1277.520754,3.110312,220.543353,966.489516
15.000000,54.791793,4.000000,1337.864330,3.883787,182.639310,949.485592
16.000000,45.140443,4.000000,1387.691259,4.769059,150.468145,910.785394
17.000000,37.150975,4.000000,1428.709485,5.740856,123.836582,854.623925
18.000000,30.625441,4.000000,1462.488856,6.765019,102.084804,785.987005
19.000000,25.323411,4.000000,1490.373960,7.804405,84.411369,709.933496
20.000000,21.014842,4.000000,1513.471256,8.824039,70.049475,631.067357
21.000000,17.502033,4.000000,1532.672389,9.794687,58.340112,553.203697
22.000000,14.624181,4.000000,1548.689795,10.694710,48.747271,479.218837
23.000000,12.254025,4.000000,1562.092301,11.510447,40.846749,411.047554
24.000000,10.291943,4.000000,1573.335795,12.235539,34.306475,349.781851
25.000000,8.660049,4.000000,1582.787861,12.869609,28.866832,295.826962
26.000000,7.297208,4.000000,1590.746934,13.416697,24.324027,249.077268
27.000000,6.155112,4.000000,1597.457003,13.883723,20.517039,209.084685
28.000000,5.195298,4.000000,1603.118886,14.279164,17.317660,175.202528
29.000000,4.386892,4.000000,1607.898888,14.612017,14.622973,146.697233
30.000000,3.704901,4.000000,1611.935503,14.891081,12.349670,122.827370
31.000000,3.128921,4.000000,1615.344616,15.124507,10.429738,102.893878
32.000000,2.642156,4.000000,1618.223584,15.319560,8.807187,86.267546
33.000000,2.230669,4.000000,1620.654445,15.482543,7.435562,72.400122
34.000000,1.882814,4.000000,1622.706491,15.618818,6.276046,60.824716
35.000000,1.588775,4.000000,1624.438316,15.732883,5.295916,51.149972
36.000000,1.340224,4.000000,1625.899460,15.828483,4.467413,43.051196
37.000000,1.130142,4.000000,1627.131803,15.908712,3.767140,36.260622
38.000000,0.952642,4.000000,1628.170788,15.976127,3.175473,30.558073
39.000000,0.802767,4.000000,1629.046451,16.032839,2.675891,25.762595
40.000000,0.495306,3.000000,1629.562195,16.080590,2.476532,21.503180
41.000000,0.454166,3.000000,1630.036922,16.120827,2.270828,17.954216
42.000000,0.415068,3.000000,1630.471257,16.154750,2.075338,14.996307
43.000000,0.380531,3.000000,1630.868638,16.183352,1.902656,12.533444
44.000000,0.351223,3.000000,1631.234111,16.207449,1.756116,10.489209
45.000000,0.326388,3.000000,1631.572607,16.227701,1.631938,8.802465
46.000000,0.304762,3.000000,1631.887977,16.244653,1.523808,7.422656
47.000000,0.285224,3.000000,1632.182843,16.258774,1.426121,6.305415
48.000000,0.267035,3.000000,1632.458889,16.270493,1.335173,5.409631
49.000000,0.249811,3.000000,1632.717249,16.280208,1.249057,4.696480
50.000000,0.233414,3.000000,1632.958803,16.288289,1.167070,4.129952
51.000000,0.217824,3.000000,1633.184361,16.295064,1.089118,3.677956
52.000000,0.203063,3.000000,1633.394742,16.300815,1.015317,3.313234
53.000000,0.000000,3.000000,1633.438272,16.305771,0.000000,2.861208
54.000000,0.000000,3.000000,1633.438272,16.310110,0.000000,2.427255
55.000000,0.000000,3.000000,1633.438272,16.313969,0.000000,2.041374
56.000000,0.000000,2.000000,1633.438272,16.317443,0.000000,1.693995
57.000000,0.000000,2.000000,1633.438272,16.320587,0.000000,1.379607
58.000000,0.000000,2.000000,1633.438272,16.323414,0.000000,1.096876
59.000000,0.000000,2.000000,1633.438272,16.325906,0.000000,0.847656
60.000000,0.000000,2.000000,1633.438272,16.328034,0.000000,0.634845
61.000000,0.000000,2.000000,1633.438272,16.329781,0.000000,0.460138
62.000000,0.000000,2.000000,1633.438272,16.331156,0.000000,0.322718
63.000000,0.000000,2.000000,1633.438272,16.332191,0.000000,0.219188
64.000000,0.000000,2.000000,1633.438272,16.332939,0.000000,0.144370
65.000000,0.000000,2.000000,1633.438272,16.333459,0.000000,0.092374
66.000000,0.000000,2.000000,1633.438272,16.333807,0.000000,0.057523
67.000000,0.000000,2.000000,1633.438272,16.334033,0.000000,0.034928
68.000000,0.000000,2.000000,1633.438272,16.334176,0.000000,0.020717
69.000000,0.000000,2.000000,1633.438272,16.334262,0.000000,0.012024
70.000000,0.000000,2.000000,1633.438272,16.334314,0.000000,0.006840
71.000000,0.000000,2.000000,1633.438272,16.334345,0.000000,0.003819
72.000000,0.000000,2.000000,1633.438272,16.334362,0.000000,0.002096
73.000000,0.000000,2.000000,1633.438272,16.334371,0.000000,0.001132
74.000000,0.000000,2.000000,1633.438272,16.334377,0.000000,0.000602
75.000000,0.000000,2.000000,1633.438272,16.334380,0.000000,0.000316
76.000000,0.000000,2.000000,1633.438272,16.334381,0.000000,0.000164
77.000000,0.000000,2.000000,1633.438272,16.334382,0.000000,0.000084
78.000000,0.000000,2.000000,1633.438272,16.334382,0.000000,0.000042
79.000000,0.000000,2.000000,1633.438272,16.334383,0.000000,0.000021
80.000000,0.000000,2.000000,1633.438272,16.334383,0.000000,0.000011
81.000000,0.000000,2.000000,1633.438272,16.334383,0.000000,0.000005
82.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000003
83.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000001
84.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000001
85.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
86.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
87.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
88.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
89.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
90.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
91.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
92.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
93.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
94.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
95.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
96.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
97.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
98.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
99.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
100.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
101.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
102.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
103.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
104.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
105.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
106.000000,0.000000,1.000000,1633.438272,16.334383,0.000000,0.000000
107.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
108.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
109.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
110.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
111.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
112.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
113.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
114.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
115.000000,0.000000,1.000000,1633.438272,16.334383,0.000001,0.000000
116.000000,0.000000,1.000000,1633.438272,16.334383,0.000002,0.000000
117.000000,0.000000,1.000000,1633.438272,16.334383,0.000002,0.000000
118.000000,0.000000,1.000000,1633.438272,16.334383,0.000002,0.000000
119.000000,0.000000,1.000000,1633.438272,16.334383,0.000002,0.000000
120.000000,0.000000,1.000000,1633.438272,16.334383,0.000003,0.000000
121.000000,0.000000,1.000000,1633.438273,16.334383,0.000003,0.000000
122.000000,0.000000,1.000000,1633.438273,16.334383,0.000004,0.000000
123.000000,0.000000,1.000000,1633.438273,16.334383,0.000004,0.000000
124.000000,0.000000,1.000000,1633.438273,16.334383,0.000005,0.000000
125.000000,0.000000,1.000000,1633.438273,16.334383,0.000005,0.000000
126.000000,0.000000,1.000000,1633.438273,16.334383,0.000006,0.000000
127.000000,0.000000,1.000000,1633.438273,16.334383,0.000007,0.000000
128.000000,0.000000,1.000000,1633.438273,16.334383,0.000008,0.000000
129.000000,0.000000,1.000000,1633.438273,16.334383,0.000009,0.000000
130.000000,0.000000,1.000000,1633.438273,16.334383,0.000010,0.000001
131.000000,0.000000,1.000000,1633.438273,16.334383,0.000011,0.000001
132.000000,0.000000,1.000000,1633.438273,16.334383,0.000013,0.000001
133.000000,0.000000,1.000000,1633.438273,16.334383,0.000015,0.000001
134.000000,0.000000,1.000000,1633.438274,16.334383,0.000017,0.000001
135.000000,0.000000,1.000000,1633.438274,16.334383,0.000019,0.000001
136.000000,0.000000,1.000000,1633.438274,16.334383,0.000022,0.000001
137.000000,0.000000,1.000000,1633.438274,16.334383,0.000025,0.000001
138.000000,0.000000,1.000000,1633.438274,16.334383,0.000028,0.000002
139.000000,0.000000,1.000000,1633.438275,16.334383,0.000032,0.000002
140.000000,0.000000,1.000000,1633.438275,16.334383,0.000036,0.000002
141.000000,0.000000,1.000000,1633.438276,16.334383,0.000041,0.000002
142.000000,0.000000,1.000000,1633.438276,16.334383,0.000047,0.000003
143.000000,0.000001,1.000000,1633.438276,16.334383,0.000053,0.000003
144.000000,0.000001,1.000000,1633.438277,16.334383,0.000060,0.000003
145.000000,0.000001,1.000000,1633.438278,16.334383,0.000069,0.000004
146.000000,0.000013,3.000000,1633.438291,16.334383,0.000065,0.000017
147.000000,0.000013,3.000000,1633.438304,16.334383,0.000064,0.000030
148.000000,0.000013,3.000000,1633.438317,16.334383,0.000063,0.000042
149.000000,0.000012,3.000000,1633.438329,16.334383,0.000061,0.000054
150.000000,0.000012,3.000000,1633.438341,16.334383,0.000059,0.000065
151.000000,0.000011,3.000000,1633.438352,16.334383,0.000056,0.000076
152.000000,0.000010,3.000000,1633.438363,16.334383,0.000052,0.000085
153.000000,0.000010,3.000000,1633.438373,16.334383,0.000049,0.000091
154.000000,0.000009,3.000000,1633.438383,16.334383,0.000045,0.000096
155.000000,0.000008,3.000000,1633.438392,16.334383,0.000042,0.000098
156.000000,0.000008,3.000000,1633.438400,16.334383,0.000039,0.000099
157.000000,0.000007,3.000000,1633.438407,16.334383,0.000036,0.000097
158.000000,0.000007,3.000000,1633.438414,16.334383,0.000033,0.000094
159.000000,0.000006,3.000000,1633.438421,16.334383,0.000031,0.000091
160.000000,0.000006,3.000000,1633.438427,16.334383,0.000029,0.000086
161.000000,0.000005,3.000000,1633.438432,16.334384,0.000027,0.000081
162.000000,0.000005,3.000000,1633.438437,16.334384,0.000025,0.000076
163.000000,0.000005,3.000000,1633.438442,16.334384,0.000023,0.000072
164.000000,0.000004,3.000000,1633.438447,16.334384,0.000022,0.000067
165.000000,0.000003,2.000000,1633.438450,16.334384,0.000021,0.000061
166.000000,0.000003,2.000000,1633.438453,16.334384,0.000021,0.000056
167.000000,0.000003,2.000000,1633.438456,16.334384,0.000020,0.000052
168.000000,0.000003,2.000000,1633.438459,16.334384,0.000020,0.000048
169.000000,0.000003,2.000000,1633.438462,16.334384,0.000019,0.000044
170.000000,0.000003,2.000000,1633.438465,16.334384,0.000019,0.000041
171.000000,0.000003,2.000000,1633.438468,16.334384,0.000019,0.000038
172.000000,0.000003,2.000000,1633.438471,16.334384,0.000019,0.000036
173.000000,0.000003,2.000000,1633.438473,16.334384,0.000019,0.000034
174.000000,0.000003,2.000000,1633.438476,16.334384,0.000019,0.000032
175.000000,0.000003,2.000000,1633.438479,16.334384,0.000019,0.000031
176.000000,0.000003,2.000000,1633.438482,16.334385,0.000019,0.000030
177.000000,0.000003,2.000000,1633.438485,16.334385,0.000019,0.000030
178.000000,0.000003,2.000000,1633.438488,16.334385,0.000019,0.000029
179.000000,0.000000,1.000000,1633.438488,16.334385,0.000021,0.000026
180.000000,0.000000,1.000000,1633.438488,16.334385,0.000024,0.000023
181.000000,0.000000,1.000000,1633.438488,16.334385,0.000026,0.000021
182.000000,0.000000,1.000000,1633.438489,16.334385,0.000029,0.000018
183.000000,0.000000,1.000000,1633.438489,16.334385,0.000033,0.000016
184.000000,0.000000,1.000000,1633.438489,16.334385,0.000038,0.000013
185.000000,0.000000,1.000000,1633.438490,16.334385,0.000043,0.000011
186.000000,0.000000,1.000000,1633.438490,16.334385,0.000049,0.000009
187.000000,0.000001,1.000000,1633.438491,16.334385,0.000055,0.000008
188.000000,0.000001,1.000000,1633.438491,16.334385,0.000063,0.000007
189.000000,0.000001,1.000000,1633.438492,16.334385,0.000071,0.000006
190.000000,0.000001,1.000000,1633.438493,16.334385,0.000081,0.000006
191.000000,0.000001,1.000000,1633.438493,16.334385,0.000092,0.000006
192.000000,0.000001,1.000000,1633.438494,16.334385,0.000105,0.000006
193.000000,0.000011,0.000000,1633.438505,16.334385,0.000110,0.000016
194.000000,0.000012,0.000000,1633.438516,16.334385,0.000116,0.000027
195.000000,0.000012,0.000000,1633.438528,16.334385,0.000124,0.000039
196.000000,0.000013,0.000000,1633.438541,16.334385,0.000133,0.000051
197.000000,0.000014,0.000000,1633.438555,16.334385,0.000143,0.000064
198.000000,0.000015,0.000000,1633.438570,16.334385,0.000155,0.000078
199.000000,0.000017,0.000000,1633.438586,16.334385,0.000167,0.000092
200.000000,0.000018,0.000000,1633.438603,16.334385,0.000180,0.000106
201.000000,0.000019,0.000000,1633.438622,16.334385,0.000195,0.000120
202.000000,0.000021,0.000000,1633.438642,16.334385,0.000210,0.000134
203.000000,0.000023,0.000000,1633.438664,16.334385,0.000226,0.000149
204.000000,0.000024,0.000000,1633.438687,16.334385,0.000244,0.000163
205.000000,0.000026,0.000000,1633.438713,16.334385,0.000264,0.000177
206.000000,0.000028,0.000000,1633.438740,16.334385,0.000284,0.000193
207.000000,0.000031,0.000000,1633.438770,16.334386,0.000307,0.000209
208.000000,0.000033,0.000000,1633.438802,16.334386,0.000331,0.000226
209.000000,0.000036,0.000000,1633.438836,16.334386,0.000357,0.000244
210.000000,0.000039,0.000000,1633.438873,16.334386,0.000386,0.000263
211.000000,0.000042,0.000000,1633.438913,16.334386,0.000416,0.000284
212.000000,0.000045,0.000000,1633.438957,16.334386,0.000449,0.000307
213.000000,0.000048,0.000000,1633.439003,16.334387,0.000485,0.000331
214.000000,0.000052,0.000000,1633.439054,16.334387,0.000523,0.000357
215.000000,0.000056,0.000000,1633.439108,16.334387,0.000564,0.000385
216.000000,0.000061,0.000000,1633.439166,16.334388,0.000609,0.000416
217.000000,0.000066,0.000000,1633.439230,16.334388,0.000657,0.000449
218.000000,0.000071,0.000000,1633.439298,16.334388,0.000709,0.000484
219.000000,0.000076,0.000000,1633.439372,16.334388,0.000765,0.000522
220.000000,0.000083,0.000000,1633.439451,16.334389,0.000825,0.000564
221.000000,0.000089,0.000000,1633.439537,16.334389,0.000891,0.000608
222.000000,0.000096,0.000000,1633.439629,16.334390,0.000961,0.000656
223.000000,0.000104,0.000000,1633.439729,16.334390,0.001037,0.000708
224.000000,0.000112,0.000000,1633.439837,16.334391,0.001119,0.000764
225.000000,0.000121,0.000000,1633.439953,16.334391,0.001207,0.000825
226.000000,0.000130,0.000000,1633.440079,16.334392,0.001303,0.000890
227.000000,0.000141,0.000000,1633.440214,16.334393,0.001406,0.000960
228.000000,0.000152,0.000000,1633.440360,16.334393,0.001517,0.001036
229.000000,0.000164,0.000000,1633.440518,16.334394,0.001637,0.001118
230.000000,0.000177,0.000000,1633.440688,16.334395,0.001767,0.001207
231.000000,0.000191,0.000000,1633.440871,16.334396,0.001906,0.001302
232.000000,0.000206,0.000000,1633.441069,16.334397,0.002057,0.001405
233.000000,0.000222,0.000000,1633.441283,16.334398,0.002220,0.001516
234.000000,0.000240,0.000000,1633.441514,16.334399,0.002395,0.001636
235.000000,0.000258,0.000000,1633.441763,16.334400,0.002584,0.001765
236.000000,0.000279,0.000000,1633.442031,16.334401,0.002789,0.001905
237.000000,0.000301,0.000000,1633.442321,16.334403,0.003009,0.002055
238.000000,0.000325,0.000000,1633.442634,16.334404,0.003247,0.002218
239.000000,0.000350,0.000000,1633.442971,16.334406,0.003504,0.002393
240.000000,0.000378,0.000000,1633.443335,16.334408,0.003781,0.002582
241.000000,0.000408,0.000000,1633.443728,16.334409,0.004080,0.002787
242.000000,0.000440,0.000000,1633.444152,16.334411,0.004403,0.003007
243.000000,0.000475,0.000000,1633.444609,16.334414,0.004751,0.003245
244.000000,0.000513,0.000000,1633.445103,16.334416,0.005126,0.003501
245.000000,0.000553,0.000000,1633.445635,16.334419,0.005532,0.003778
