Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,350.000000,64.000000
1.000000,49.583848,0.000000,107.923434,0.060001,495.838477,101.923341
2.000000,51.680799,0.000000,159.097935,0.120062,516.807987,147.091736
3.000000,50.431444,0.000000,210.221328,0.180634,504.314438,192.157923
4.000000,49.693207,0.000000,260.159173,0.243407,496.932071,235.818434
5.000000,126.374434,4.000000,396.649078,0.313084,421.248115,365.340629
6.000000,114.080284,4.000000,516.241013,0.399047,380.267612,476.336273
7.000000,106.543470,4.000000,626.390301,0.514910,355.144900,574.899318
8.000000,99.144092,4.000000,729.347910,0.676998,330.480308,661.648098
9.000000,89.959541,4.000000,824.067575,0.904362,299.865136,733.631330
10.000000,79.180389,4.000000,908.736560,1.218473,263.934629,786.889268
11.000000,67.857714,4.000000,982.259258,1.639241,226.192381,818.335149
12.000000,57.018959,4.000000,1044.628978,2.178480,190.063195,826.780977
13.000000,47.317034,4.000000,1096.690842,2.834930,157.723447,813.197805
14.000000,39.017773,4.000000,1139.742593,3.593481,130.059244,780.394474
15.000000,32.117534,4.000000,1175.201856,4.428228,107.058448,732.379014
16.000000,26.470311,4.000000,1204.402115,5.307407,88.234370,673.661385
17.000000,21.879430,4.000000,1228.499656,6.198317,72.931433,608.667957
18.000000,18.149701,4.000000,1248.451891,7.071170,60.499003,541.334899
19.000000,15.110574,4.000000,1265.032291,7.901542,50.368580,474.878061
20.000000,12.622329,4.000000,1278.859105,8.671523,42.074429,411.706843
21.000000,10.574152,4.000000,1290.425638,9.369821,35.247173,353.443500
22.000000,8.879343,4.000000,1300.126860,9.991145,29.597811,301.012353
23.000000,7.470227,4.000000,1308.280946,10.535127,24.900758,254.768263
24.000000,6.293770,4.000000,1315.146037,11.005071,20.979233,214.638945
25.000000,5.308119,4.000000,1320.933075,11.406714,17.693730,180.261690
26.000000,4.479976,4.000000,1325.815612,11.747140,14.933253,151.101619
27.000000,3.782620,4.000000,1329.937329,12.033923,12.608732,126.544990
28.000000,3.194424,4.000000,1333.417837,12.274514,10.648080,105.966421
29.000000,2.697737,4.000000,1336.357187,12.475846,8.992456,88.772558
30.000000,2.278032,4.000000,1338.839402,12.644127,7.593440,74.426681
31.000000,1.923262,4.000000,1340.935262,12.784760,6.410872,62.459309
32.000000,1.623341,4.000000,1342.704519,12.902351,5.411137,52.469426
33.000000,1.369755,4.000000,1344.197650,13.000776,4.565848,44.120098
34.000000,1.155339,4.000000,1345.457306,13.083260,3.851130,37.131316
35.000000,0.974099,4.000000,1346.519574,13.152476,3.246997,31.271949
36.000000,0.820997,4.000000,1347.415042,13.210632,2.736658,26.351873
37.000000,0.691765,4.000000,1348.169659,13.259549,2.305885,22.214804
38.000000,0.426757,3.000000,1348.614264,13.300733,2.133787,18.540939
39.000000,0.391307,3.000000,1349.023288,13.335434,1.956533,15.479897
40.000000,0.357622,3.000000,1349.397510,13.364687,1.788111,12.928827
41.000000,0.327870,3.000000,1349.739895,13.389351,1.639348,10.804844
42.000000,0.302622,3.000000,1350.054792,13.410128,1.513109,9.041989
43.000000,0.281227,3.000000,1350.346450,13.427590,1.406134,7.587497
44.000000,0.262597,3.000000,1350.618186,13.442204,1.312983,6.397741
45.000000,0.245765,3.000000,1350.872257,13.454378,1.228825,5.434441
46.000000,0.230094,3.000000,1351.110115,13.464480,1.150471,4.662132
47.000000,0.215256,3.000000,1351.332736,13.472854,1.076278,4.047324
48.000000,0.201128,3.000000,1351.540877,13.479819,1.005639,3.558957
49.000000,0.000000,3.000000,1351.557524,13.485659,0.000000,2.991641
50.000000,0.000000,3.000000,1351.557524,13.490615,0.000000,2.496012
51.000000,0.000000,3.000000,1351.557524,13.494885,0.000000,2.069015
52.000000,0.000000,3.000000,1351.557524,13.498618,0.000000,1.695682
53.000000,0.000000,3.000000,1351.557524,13.501913,0.000000,1.366226
54.000000,0.000000,2.000000,1351.557524,13.504814,0.000000,1.076109
55.000000,0.000000,2.000000,1351.557524,13.507328,0.000000,0.824761
56.000000,0.000000,2.000000,1351.557524,13.509444,0.000000,0.613169
57.000000,0.000000,2.000000,1351.557524,13.511160,0.000000,0.441508
58.000000,0.000000,2.000000,1351.557524,13.512497,0.000000,0.307824
59.000000,0.000000,2.000000,1351.557524,13.513496,0.000000,0.207961
60.000000,0.000000,2.000000,1351.557524,13.514212,0.000000,0.136318
61.000000,0.000000,2.000000,1351.557524,13.514707,0.000000,0.086843
62.000000,0.000000,2.000000,1351.557524,13.515037,0.000000,0.053866
63.000000,0.000000,2.000000,1351.557524,13.515249,0.000000,0.032590
64.000000,0.000000,2.000000,1351.557524,13.515383,0.000000,0.019268
65.000000,0.000000,2.000000,1351.557524,13.515464,0.000000,0.011150
66.000000,0.000000,2.000000,1351.557524,13.515512,0.000000,0.006325
67.000000,0.000000,2.000000,1351.557524,13.515540,0.000000,0.003523
68.000000,0.000000,2.000000,1351.557524,13.515556,0.000000,0.001929
69.000000,0.000000,2.000000,1351.557524,13.515565,0.000000,0.001040
70.000000,0.000000,2.000000,1351.557524,13.515570,0.000000,0.000552
71.000000,0.000000,2.000000,1351.557524,13.515572,0.000000,0.000289
72.000000,0.000000,2.000000,1351.557524,13.515574,0.000000,0.000150
73.000000,0.000000,2.000000,1351.557524,13.515574,0.000000,0.000076
74.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000039
75.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000019
76.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000010
77.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000005
78.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000002
79.000000,0.000000,2.000000,1351.557524,13.515575,0.000000,0.000001
80.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000001
81.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
82.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
83.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
84.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
85.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
86.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
87.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
88.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
89.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
90.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
91.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
92.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
93.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
94.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
95.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
96.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
97.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
98.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
99.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
100.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
101.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
102.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
103.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
104.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
105.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
106.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
107.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
108.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
109.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
110.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
111.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
112.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
113.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
114.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
115.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
116.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
117.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
118.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
119.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
120.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
121.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
122.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
123.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
124.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
125.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
126.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
127.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
128.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
129.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
130.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
131.000000,0.000000,1.000000,1351.557524,13.515575,0.000000,0.000000
132.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
133.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
134.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
135.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
136.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
137.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
138.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
139.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
140.000000,0.000000,1.000000,1351.557524,13.515575,0.000001,0.000000
141.000000,0.000000,1.000000,1351.557524,13.515575,0.000002,0.000000
142.000000,0.000000,1.000000,1351.557524,13.515575,0.000002,0.000000
143.000000,0.000000,1.000000,1351.557524,13.515575,0.000002,0.000000
144.000000,0.000000,3.000000,1351.557524,13.515575,0.000002,0.000001
145.000000,0.000000,3.000000,1351.557525,13.515575,0.000002,0.000001
146.000000,0.000000,3.000000,1351.557525,13.515575,0.000002,0.000001
147.000000,0.000000,3.000000,1351.557525,13.515575,0.000002,0.000002
148.000000,0.000000,3.000000,1351.557526,13.515575,0.000002,0.000002
149.000000,0.000000,3.000000,1351.557526,13.515575,0.000002,0.000002
150.000000,0.000000,3.000000,1351.557526,13.515575,0.000002,0.000003
151.000000,0.000000,3.000000,1351.557527,13.515575,0.000002,0.000003
152.000000,0.000000,3.000000,1351.557527,13.515575,0.000001,0.000003
153.000000,0.000000,3.000000,1351.557527,13.515575,0.000001,0.000003
154.000000,0.000000,3.000000,1351.557528,13.515575,0.000001,0.000003
155.000000,0.000000,3.000000,1351.557528,13.515575,0.000001,0.000003
156.000000,0.000000,3.000000,1351.557528,13.515575,0.000001,0.000003
157.000000,0.000000,3.000000,1351.557528,13.515575,0.000001,0.000003
158.000000,0.000000,3.000000,1351.557528,13.515575,0.000001,0.000003
159.000000,0.000000,3.000000,1351.557529,13.515575,0.000001,0.000003
160.000000,0.000000,3.000000,1351.557529,13.515575,0.000001,0.000002
161.000000,0.000000,3.000000,1351.557529,13.515575,0.000001,0.000002
162.000000,0.000000,3.000000,1351.557529,13.515575,0.000001,0.000002
163.000000,0.000000,2.000000,1351.557529,13.515575,0.000001,0.000002
164.000000,0.000000,2.000000,1351.557529,13.515575,0.000001,0.000002
165.000000,0.000000,2.000000,1351.557529,13.515575,0.000001,0.000002
166.000000,0.000000,2.000000,1351.557529,13.515575,0.000001,0.000002
167.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
168.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
169.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
170.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
171.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
172.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
173.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
174.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
175.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
176.000000,0.000000,2.000000,1351.557530,13.515575,0.000001,0.000001
177.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000001
178.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000001
179.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000001
180.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000001
181.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000000
182.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000000
183.000000,0.000000,1.000000,1351.557530,13.515575,0.000001,0.000000
184.000000,0.000000,1.000000,1351.557530,13.515575,0.000002,0.000000
185.000000,0.000000,1.000000,1351.557530,13.515575,0.000002,0.000000
186.000000,0.000000,1.000000,1351.557530,13.515575,0.000002,0.000000
187.000000,0.000000,1.000000,1351.557530,13.515575,0.000002,0.000000
188.000000,0.000000,1.000000,1351.557530,13.515575,0.000003,0.000000
189.000000,0.000000,1.000000,1351.557531,13.515575,0.000003,0.000000
190.000000,0.000000,1.000000,1351.557531,13.515575,0.000003,0.000000
191.000000,0.000000,0.000000,1351.557531,13.515575,0.000003,0.000001
192.000000,0.000000,0.000000,1351.557531,13.515575,0.000004,0.000001
193.000000,0.000000,0.000000,1351.557532,13.515575,0.000004,0.000001
194.000000,0.000000,0.000000,1351.557532,13.515575,0.000004,0.000002
195.000000,0.000000,0.000000,1351.557532,13.515575,0.000005,0.000002
196.000000,0.000000,0.000000,1351.557533,13.515575,0.000005,0.000002
197.000000,0.000001,0.000000,1351.557533,13.515575,0.000005,0.000003
198.000000,0.000001,0.000000,1351.557534,13.515575,0.000006,0.000003
199.000000,0.000001,0.000000,1351.557535,13.515575,0.000006,0.000004
200.000000,0.000001,0.000000,1351.557535,13.515575,0.000007,0.000004
201.000000,0.000001,0.000000,1351.557536,13.515575,0.000007,0.000005
202.000000,0.000001,0.000000,1351.557537,13.515575,0.000008,0.000005
203.000000,0.000001,0.000000,1351.557537,13.515575,0.000008,0.000006
204.000000,0.000001,0.000000,1351.557538,13.515575,0.000009,0.000006
205.000000,0.000001,0.000000,1351.557539,13.515575,0.000010,0.000007
206.000000,0.000001,0.000000,1351.557540,13.515575,0.000010,0.000007
207.000000,0.000001,0.000000,1351.557541,13.515575,0.000011,0.000008
208.000000,0.000001,0.000000,1351.557543,13.515575,0.000012,0.000008
209.000000,0.000001,0.000000,1351.557544,13.515575,0.000013,0.000009
210.000000,0.000001,0.000000,1351.557545,13.515575,0.000014,0.000010
211.000000,0.000002,0.000000,1351.557547,13.515575,0.000015,0.000010
212.000000,0.000002,0.000000,1351.557548,13.515575,0.000017,0.000011
213.000000,0.000002,0.000000,1351.557550,13.515575,0.000018,0.000012
214.000000,0.000002,0.000000,1351.557552,13.515575,0.000019,0.000013
215.000000,0.000002,0.000000,1351.557554,13.515575,0.000021,0.000014
216.000000,0.000002,0.000000,1351.557556,13.515575,0.000022,0.000015
217.000000,0.000002,0.000000,1351.557558,13.515575,0.000024,0.000017
218.000000,0.000003,0.000000,1351.557561,13.515575,0.000026,0.000018
219.000000,0.000003,0.000000,1351.557564,13.515575,0.000028,0.000019
220.000000,0.000003,0.000000,1351.557566,13.515575,0.000030,0.000021
221.000000,0.000003,0.000000,1351.557570,13.515575,0.000033,0.000022
222.000000,0.000004,0.000000,1351.557573,13.515575,0.000035,0.000024
223.000000,0.000004,0.000000,1351.557577,13.515576,0.000038,0.000026
224.000000,0.000004,0.000000,1351.557581,13.515576,0.000041,0.000028
225.000000,0.000004,0.000000,1351.557585,13.515576,0.000044,0.000030
226.000000,0.000005,0.000000,1351.557590,13.515576,0.000048,0.000033
227.000000,0.000005,0.000000,1351.557595,13.515576,0.000052,0.000035
228.000000,0.000006,0.000000,1351.557600,13.515576,0.000056,0.000038
229.000000,0.000006,0.000000,1351.557606,13.515576,0.000060,0.000041
230.000000,0.000007,0.000000,1351.557612,13.515576,0.000065,0.000044
231.000000,0.000007,0.000000,1351.557619,13.515576,0.000070,0.000048
232.000000,0.000008,0.000000,1351.557626,13.515576,0.000076,0.000052
233.000000,0.000008,0.000000,1351.557634,13.515576,0.000082,0.000056
234.000000,0.000009,0.000000,1351.557642,13.515576,0.000088,0.000060
235.000000,0.000010,0.000000,1351.557652,13.515576,0.000095,0.000065
236.000000,0.000010,0.000000,1351.557661,13.515576,0.000103,0.000070
237.000000,0.000011,0.000000,1351.557672,13.515576,0.000111,0.000076
238.000000,0.000012,0.000000,1351.557684,13.515576,0.000120,0.000082
239.000000,0.000013,0.000000,1351.557696,13.515576,0.000129,0.000088
240.000000,0.000014,0.000000,1351.557710,13.515576,0.000139,0.000095
241.000000,0.000015,0.000000,1351.557724,13.515576,0.000150,0.000103
242.000000,0.000016,0.000000,1351.557740,13.515576,0.000162,0.000111
243.000000,0.000018,0.000000,1351.557756,13.515576,0.000175,0.000120
244.000000,0.000019,0.000000,1351.557775,13.515576,0.000189,0.000129
245.000000,0.000020,0.000000,1351.557794,13.515577,0.000204,0.000139
