Time,nz-c1.Ic,nz-c1.C_dot,nz-c1.Level,nz-c1.total_cases,nz-c1.deaths
0,64,0,0,64,0
1,101.923341,49.583848,0,107.923434,0.060001
2,147.091736,51.680799,0,159.097935,0.120062
3,192.157923,50.431444,0,210.221328,0.180634
4,235.818434,49.693207,0,260.159173,0.243407
5,278.919766,50.77422,0,310.228215,0.313084
6,412.466184,133.953846,4,452.370018,0.399038
7,529.388221,123.918364,4,580.845618,0.514574
8,633.798587,116.811535,4,701.17267,0.673741
9,725.178377,108.701849,4,814.109897,0.889315
10,800.308869,98.285769,4,917.795221,1.174864
11,855.385358,86.16221,4,1010.116879,1.547315
12,887.509208,73.595913,4,1089.986888,2.024777
13,895.550984,61.696283,4,1157.548538,2.619976
14,880.440477,51.125892,4,1213.838548,3.333981
15,844.953032,42.128611,4,1260.337549,4.153845
16,793.159145,34.670013,4,1298.618392,5.054592
17,729.754375,28.574939,4,1330.139307,6.003849
18,659.445721,23.622679,4,1356.154616,6.967089
19,586.489263,19.599366,4,1377.698457,7.912092
20,514.404176,16.32022,4,1395.604665,8.812005
21,445.847266,13.634654,4,1410.539388,9.646921
22,382.614279,11.423467,4,1423.03426,10.4042
23,325.729196,9.593395,4,1433.515155,11.07786
24,275.584215,8.071584,4,1442.325307,11.667411
25,232.098437,6.800882,4,1449.743289,12.176449
26,194.871018,5.736157,4,1455.996796,12.611258
27,163.313193,4.841481,4,1461.273188,12.9796
28,136.751723,4.088022,4,1465.727594,13.289759
29,114.502757,3.452443,4,1469.489172,13.549864
30,95.919267,2.915698,4,1472.665974,13.767467
31,80.417394,2.462111,4,1475.348753,13.949314
32,67.487446,2.078681,4,1477.613976,14.101265
33,56.694776,1.754541,4,1479.526214,14.228314
34,47.674686,1.480515,4,1481.140046,14.334654
35,40.124385,1.248845,4,1482.501601,14.423772
36,33.794085,1.053018,4,1483.649886,14.498558
37,28.478376,0.887573,4,1484.617936,14.561396
38,24.008447,0.747897,4,1485.433767,14.614253
39,20.245362,0.630066,4,1486.121134,14.658758
40,17.074455,0.530729,4,1486.700166,14.696257
41,14.400747,0.447024,4,1487.187889,14.727871
42,12.14527,0.376516,4,1487.598687,14.754534
43,10.242117,0.317135,4,1487.944692,14.777026
44,8.444617,0,4,1488.044648,14.796
45,6.843901,0,4,1488.044648,14.812007
46,5.49369,0,4,1488.044648,14.82551
47,4.355435,0,4,1488.044648,14.836892
48,3.398277,0,4,1488.044648,14.846464
49,2.599228,0,4,1488.044648,14.854454
50,1.941798,0,4,1488.044648,14.861029
51,1.412893,0,4,1488.044648,14.866318
52,0.999541,0,4,1488.044648,14.870451
53,0.687031,0,4,1488.044648,14.873576
54,0.458893,0,4,1488.044648,14.875858
55,0.298092,0,4,1488.044648,14.877466
56,0.188545,0,4,1488.044648,14.878561
57,0.116285,0,4,1488.044648,14.879284
58,0.070038,0,4,1488.044648,14.879746
59,0.041259,0,4,1488.044648,14.880034
60,0.023808,0,4,1488.044648,14.880208
