Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
0,0,0,64,0,350,64
1,49.5818,0,107.955278,0.060001,495.817997,101.955185
2,51.717909,0,159.139878,0.120062,517.179093,147.133677
3,50.691711,0,210.38778,0.180634,506.917112,192.324338
4,50.576125,0,260.854755,0.24341,505.761247,236.513743
5,52.870631,0,312.357324,0.313096,528.70631,281.047773
6,57.691577,0,367.440439,0.399072,576.915771,327.533238
7,64.593711,0,428.428378,0.514663,645.937107,376.962083
8,73.092771,0,497.150036,0.673684,730.927708,429.781637
9,82.899202,0,575.037914,0.886465,828.992023,486.391387
10,93.950807,0,663.351211,1.157754,939.508065,547.575847
11,106.351652,0,763.376587,1.487282,1063.516519,614.648429
12,120.295659,0,876.55537,1.872159,1202.956586,689.339423
13,136.013049,0,1004.544084,2.309653,1360.130489,773.578734
14,153.747396,0,1149.236929,2.799257,1537.473957,869.311188
15,173.755423,0,1312.777632,3.343663,1737.554229,978.411369
16,196.31791,0,1497.577561,3.948794,1963.179104,1102.698159
17,221.752641,0,1706.346338,4.623326,2217.526414,1244.013778
18,250.424805,0,1942.134328,5.378074,2504.248048,1404.326924
19,282.753986,0,2208.383795,6.225523,2827.53986,1585.831516
20,319.218938,0,2508.98579,7.179574,3192.189378,1791.028361
21,360.361881,0,2848.341437,8.255522,3603.618809,2022.789274
22,406.793754,0,3231.427904,9.470185,4067.93754,2284.409428
23,459.201194,0,3663.870444,10.842152,4592.01194,2579.655202
24,518.355482,0,4152.022403,12.392088,5183.554824,2912.813584
25,585.123373,0,4703.055118,14.143079,5851.233727,3288.747236
26,660.479628,0,5325.059521,16.121018,6604.796281,3712.957705
27,745.521148,0,6027.161069,18.355028,7455.211479,4191.658226
28,841.482674,0,6819.649597,20.877924,8414.826739,4731.85723
29,949.75417,0,7714.12569,23.726721,9497.541699,5341.453566
30,1071.900045,0,8723.665352,26.943208,10719.000449,6029.344584
31,1209.680431,0,9863.00489,30.574566,12096.804308,6805.548289
32,1365.07474,0,11148.748214,34.674073,13650.747403,7681.340912
33,1540.307732,0,12599.598913,39.302049,15403.077325,8669.411237
34,1737.878304,0,14236.619747,44.849507,17378.783043,9784.033148
35,1960.591216,0,16083.522382,51.740541,19605.912158,11041.257883
36,2211.591933,0,18166.99039,60.14769,22115.919325,12459.127559
37,2494.404741,0,20517.038711,70.265535,24944.047414,14057.911616
38,2812.974247,0,23167.412922,82.313465,28129.742469,15860.367803
39,3171.710285,0,26156.031702,96.538778,31717.102854,17892.029342
40,3575.536202,0,29525.475905,113.220168,35755.362015,20181.519695
41,4029.940295,0,33323.527513,132.671622,40299.402946,22760.896144
42,4541.03007,0,37603.761479,155.246789,45410.300705,25666.022923
43,5115.588699,0,42426.192976,181.343855,51155.886988,28936.973986
44,5761.132779,0,47857.981861,211.410999,57611.327794,32618.464601
45,6485.970137,0,53974.19503,245.952454,64859.701369,36760.309695
46,7299.254399,4,60858.625821,285.535262,72992.543986,41417.90518
47,8205.047312,4,68603.434089,330.796266,82050.473115,46651.492887
48,9135.019435,4,77277.36253,382.438466,91350.194351,52493.961619
49,9918.444722,4,86823.285072,441.208043,99184.447215,58847.937416
50,10414.446872,4,97016.412421,507.8982,104144.46872,65443.494336
51,10593.187722,4,107545.088697,583.38099,105931.877215,71918.521704
52,10511.965496,4,118115.761439,668.624615,105119.654959,77923.852113
53,10259.872172,4,128512.346241,764.662508,102598.721724,83184.703531
54,9918.5321,4,138606.329863,872.485646,99185.321004,87516.525801
55,9546.494574,4,148339.802294,992.850868,95464.945742,90818.066718
56,9178.868959,4,157701.356149,1126.043804,91788.689593,93059.699627
57,8833.088648,4,166705.300829,1271.675062,88330.886479,94273.382729
58,8515.392251,4,175377.292325,1428.589712,85153.92251,94543.145728
