Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,350.000000,64.000000
1.000000,49.583848,0.000000,107.923434,0.060001,495.838477,101.923341
2.000000,51.680799,0.000000,159.097935,0.120062,516.807987,147.091736
3.000000,50.431444,0.000000,210.221328,0.180634,504.314438,192.157923
4.000000,49.693207,0.000000,260.159173,0.243407,496.932071,235.818434
5.000000,50.774220,0.000000,310.228215,0.313084,507.742198,278.919766
6.000000,133.953846,4.000000,452.370018,0.399038,446.512820,412.466184
7.000000,123.918364,4.000000,580.845618,0.514574,413.061213,529.388221
8.000000,116.811535,4.000000,701.172670,0.673741,389.371785,633.798587
9.000000,108.701849,4.000000,814.109897,0.889315,362.339496,725.178377
10.000000,98.285769,4.000000,917.795221,1.174864,327.619231,800.308869
11.000000,86.162210,4.000000,1010.116879,1.547315,287.207367,855.385358
12.000000,73.595913,4.000000,1089.986888,2.024777,245.319710,887.509208
13.000000,61.696283,4.000000,1157.548538,2.619976,205.654278,895.550984
14.000000,51.125892,4.000000,1213.838548,3.333981,170.419639,880.440477
15.000000,42.128611,4.000000,1260.337549,4.153845,140.428702,844.953032
16.000000,34.670013,4.000000,1298.618392,5.054592,115.566711,793.159145
17.000000,28.574939,4.000000,1330.139307,6.003849,95.249795,729.754375
18.000000,23.622679,4.000000,1356.154616,6.967089,78.742262,659.445721
19.000000,19.599366,4.000000,1377.698457,7.912092,65.331221,586.489263
20.000000,16.320220,4.000000,1395.604665,8.812005,54.400733,514.404176
21.000000,13.634654,4.000000,1410.539388,9.646921,45.448848,445.847266
22.000000,11.423467,4.000000,1423.034260,10.404200,38.078222,382.614279
23.000000,9.593395,4.000000,1433.515155,11.077860,31.977983,325.729196
24.000000,8.071584,4.000000,1442.325307,11.667411,26.905279,275.584215
25.000000,6.800882,4.000000,1449.743289,12.176449,22.669608,232.098437
26.000000,5.736157,4.000000,1455.996796,12.611258,19.120523,194.871018
27.000000,4.841481,4.000000,1461.273188,12.979600,16.138270,163.313193
28.000000,4.088022,4.000000,1465.727594,13.289759,13.626739,136.751723
29.000000,3.452443,4.000000,1469.489172,13.549864,11.508143,114.502757
30.000000,2.915698,4.000000,1472.665974,13.767467,9.718993,95.919267
31.000000,2.462111,4.000000,1475.348753,13.949314,8.207037,80.417394
32.000000,2.078681,4.000000,1477.613976,14.101265,6.928937,67.487446
33.000000,1.754541,4.000000,1479.526214,14.228314,5.848470,56.694776
34.000000,1.480515,4.000000,1481.140046,14.334654,4.935050,47.674686
35.000000,1.248845,4.000000,1482.501601,14.423772,4.162816,40.124385
36.000000,1.053018,4.000000,1483.649886,14.498558,3.510061,33.794085
37.000000,0.887573,4.000000,1484.617936,14.561396,2.958577,28.478376
38.000000,0.747897,4.000000,1485.433767,14.614253,2.492990,24.008447
39.000000,0.461437,3.000000,1485.914250,14.658758,2.307187,20.038478
40.000000,0.423105,3.000000,1486.356513,14.696257,2.115525,16.730804
41.000000,0.386681,3.000000,1486.761144,14.727871,1.933406,13.974086
42.000000,0.354509,3.000000,1487.131348,14.754525,1.772546,11.678804
43.000000,0.327209,3.000000,1487.471831,14.776981,1.636043,9.773713
44.000000,0.304074,3.000000,1487.787184,14.795854,1.520370,8.201817
45.000000,0.283929,3.000000,1488.080995,14.811650,1.419644,6.915989
46.000000,0.265728,3.000000,1488.355705,14.824808,1.328642,5.874873
47.000000,0.248783,3.000000,1488.612884,14.835727,1.243917,5.040149
48.000000,0.232738,3.000000,1488.853586,14.844780,1.163692,4.375631
49.000000,0.217462,3.000000,1489.078631,14.852309,1.087311,3.847754
50.000000,0.202938,3.000000,1489.288775,14.858622,1.014690,3.426610
51.000000,0.000000,3.000000,1489.330883,14.863980,0.000000,2.932900
52.000000,0.000000,3.000000,1489.330883,14.868597,0.000000,2.471203
53.000000,0.000000,3.000000,1489.330883,14.872639,0.000000,2.066944
54.000000,0.000000,3.000000,1489.330883,14.876230,0.000000,1.707881
55.000000,0.000000,2.000000,1489.330883,14.879445,0.000000,1.386404
56.000000,0.000000,2.000000,1489.330883,14.882313,0.000000,1.099610
57.000000,0.000000,2.000000,1489.330883,14.884826,0.000000,0.848240
58.000000,0.000000,2.000000,1489.330883,14.886965,0.000000,0.634432
59.000000,0.000000,2.000000,1489.330883,14.888715,0.000000,0.459374
60.000000,0.000000,2.000000,1489.330883,14.890090,0.000000,0.321932
61.000000,0.000000,2.000000,1489.330883,14.891124,0.000000,0.218522
62.000000,0.000000,2.000000,1489.330883,14.891870,0.000000,0.143862
63.000000,0.000000,2.000000,1489.330883,14.892389,0.000000,0.092012
64.000000,0.000000,2.000000,1489.330883,14.892736,0.000000,0.057279
65.000000,0.000000,2.000000,1489.330883,14.892961,0.000000,0.034770
66.000000,0.000000,2.000000,1489.330883,14.893103,0.000000,0.020619
67.000000,0.000000,2.000000,1489.330883,14.893189,0.000000,0.011965
68.000000,0.000000,2.000000,1489.330883,14.893241,0.000000,0.006805
69.000000,0.000000,2.000000,1489.330883,14.893271,0.000000,0.003799
70.000000,0.000000,2.000000,1489.330883,14.893288,0.000000,0.002085
71.000000,0.000000,2.000000,1489.330883,14.893298,0.000000,0.001126
72.000000,0.000000,2.000000,1489.330883,14.893303,0.000000,0.000599
73.000000,0.000000,2.000000,1489.330883,14.893306,0.000000,0.000314
74.000000,0.000000,2.000000,1489.330883,14.893307,0.000000,0.000163
75.000000,0.000000,2.000000,1489.330883,14.893308,0.000000,0.000083
76.000000,0.000000,2.000000,1489.330883,14.893308,0.000000,0.000042
77.000000,0.000000,2.000000,1489.330883,14.893309,0.000000,0.000021
78.000000,0.000000,2.000000,1489.330883,14.893309,0.000000,0.000010
79.000000,0.000000,2.000000,1489.330883,14.893309,0.000000,0.000005
80.000000,0.000000,2.000000,1489.330883,14.893309,0.000000,0.000003
81.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000001
82.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000001
83.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
84.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
85.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
86.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
87.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
88.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
89.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
90.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
91.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
92.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
93.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
94.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
95.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
96.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
97.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
98.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
99.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
100.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
101.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
102.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
103.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
104.000000,0.000000,1.000000,1489.330883,14.893309,0.000000,0.000000
105.000000,0.000357,1.000000,1489.330950,14.893309,0.003570,0.000067
106.000000,0.005040,1.000000,1489.333049,14.893309,0.050401,0.002166
107.000000,0.017206,1.000000,1489.343608,14.893309,0.172059,0.012725
108.000000,0.033449,1.000000,1489.368820,14.893309,0.334494,0.037936
109.000000,0.048668,1.000000,1489.410117,14.893309,0.486679,0.079224
110.000000,0.060187,1.000000,1489.464878,14.893310,0.601874,0.133922
111.000000,0.068044,1.000000,1489.529246,14.893313,0.680437,0.197995
112.000000,0.073623,1.000000,1489.600199,14.893322,0.736234,0.267961
113.000000,0.078431,1.000000,1489.676236,14.893348,0.784311,0.341434
114.000000,0.083501,1.000000,1489.757150,14.893403,0.835013,0.416869
115.000000,0.089326,1.000000,1489.843489,14.893503,0.893261,0.493178
116.000000,0.096023,1.000000,1489.936089,14.893665,0.960229,0.569544
117.000000,0.103536,1.000000,1490.035800,14.893903,1.035356,0.645463
118.000000,0.111778,1.000000,1490.143395,14.894225,1.117781,0.720848
119.000000,0.120701,1.000000,1490.259574,14.894635,1.207013,0.796084
120.000000,0.130308,1.000000,1490.385016,14.895130,1.303079,0.871979
121.000000,0.140641,1.000000,1490.520422,14.895708,1.406409,0.949624
122.000000,0.151766,1.000000,1490.666551,14.896363,1.517660,1.030230
123.000000,0.163759,1.000000,1490.824231,14.897092,1.637585,1.114997
124.000000,0.176697,1.000000,1490.994370,14.897893,1.766967,1.205031
125.000000,0.190660,1.000000,1491.177953,14.898766,1.906603,1.301313
126.000000,0.205732,1.000000,1491.376046,14.899713,2.057315,1.404714
127.000000,0.221997,1.000000,1491.589799,14.900738,2.219972,1.516027
128.000000,0.239551,1.000000,1491.820452,14.901844,2.395506,1.636011
129.000000,0.258492,1.000000,1492.069344,14.903039,2.584924,1.765418
130.000000,0.278932,1.000000,1492.337917,14.904329,2.789320,1.905027
131.000000,0.300987,1.000000,1492.627725,14.905721,3.009874,2.055662
132.000000,0.324787,1.000000,1492.940450,14.907222,3.247865,2.218202
133.000000,0.350467,1.000000,1493.277901,14.908843,3.504673,2.393590
134.000000,0.378179,1.000000,1493.642034,14.910592,3.781786,2.582846
135.000000,0.408081,1.000000,1494.034959,14.912479,4.080809,2.787066
136.000000,0.440348,1.000000,1494.458953,14.914515,4.403477,3.007435
137.000000,0.475166,1.000000,1494.916472,14.916712,4.751658,3.245230
138.000000,0.512737,1.000000,1495.410166,14.919083,5.127370,3.501827
139.000000,0.553279,1.000000,1495.942897,14.921642,5.532788,3.778715
140.000000,0.597026,1.000000,1496.517750,14.924403,5.970263,4.077495
141.000000,0.644233,1.000000,1497.138057,14.927382,6.442329,4.399901
142.000000,0.695172,1.000000,1497.807411,14.930596,6.951720,4.747799
143.000000,0.750139,1.000000,1498.529690,14.934065,7.501389,5.123205
144.000000,0.809452,1.000000,1499.309080,14.937808,8.094519,5.528295
145.000000,1.594470,3.000000,1500.911365,14.941847,7.972348,6.726684
146.000000,1.589723,3.000000,1502.502512,14.946205,7.948616,7.881992
147.000000,1.584227,3.000000,1504.090550,14.950911,7.921134,8.999449
148.000000,1.557763,3.000000,1505.663822,14.956014,7.788816,10.062395
149.000000,1.503459,3.000000,1507.196696,14.961626,7.517297,11.034143
150.000000,1.426482,3.000000,1508.663198,14.967940,7.132408,11.869234
151.000000,1.336845,3.000000,1510.045537,14.975204,6.684225,12.525127
152.000000,1.243790,3.000000,1511.335877,14.983642,6.218948,12.971705
153.000000,1.153482,3.000000,1512.534159,14.993374,5.767409,13.196798
154.000000,1.069020,3.000000,1513.644900,15.004380,5.345100,13.206907
155.000000,0.991361,3.000000,1514.674560,15.016506,4.956804,13.023994
156.000000,0.920303,3.000000,1515.629901,15.029497,4.601514,12.680188
157.000000,0.855189,3.000000,1516.517215,15.043050,4.275943,12.212215
158.000000,0.795292,3.000000,1517.342079,15.056854,3.976460,11.656726
159.000000,0.739979,3.000000,1518.109383,15.070624,3.699897,11.046989
160.000000,0.688745,3.000000,1518.823449,15.084125,3.443725,10.410983
161.000000,0.641192,3.000000,1519.488149,15.097175,3.205959,9.770670
162.000000,0.597001,3.000000,1520.106999,15.109649,2.985005,9.142130
163.000000,0.555905,3.000000,1520.683225,15.121470,2.779525,8.536250
164.000000,0.406884,2.000000,1521.095697,15.132601,2.712560,7.835585
165.000000,0.395473,2.000000,1521.496929,15.143036,2.636490,7.193339
166.000000,0.384606,2.000000,1521.886839,15.152787,2.564043,6.608096
167.000000,0.376091,2.000000,1522.266951,15.161879,2.507274,6.079058
168.000000,0.370500,2.000000,1522.640016,15.170332,2.469999,5.606838
169.000000,0.367326,2.000000,1523.008766,15.178159,2.448837,5.192903
170.000000,0.365644,2.000000,1523.375165,15.185367,2.437629,4.838437
171.000000,0.364627,2.000000,1523.740273,15.191972,2.430845,4.543044
172.000000,0.363738,2.000000,1524.104459,15.198005,2.424919,4.303912
173.000000,0.362726,2.000000,1524.467707,15.203519,2.418172,4.115779
174.000000,0.361526,2.000000,1524.829849,15.208583,2.410174,3.971580
175.000000,0.360166,2.000000,1525.190707,15.213273,2.401106,3.863420
176.000000,0.358699,2.000000,1525.550146,15.217667,2.391326,3.783488
177.000000,0.357173,2.000000,1525.908087,15.221834,2.381156,3.724732
178.000000,0.355637,2.000000,1526.264384,15.225833,2.370916,3.681119
179.000000,0.354077,2.000000,1526.619242,15.229711,2.360516,3.648167
180.000000,0.352521,2.000000,1526.972541,15.233503,2.350139,3.622222
181.000000,0.350970,2.000000,1527.324287,15.237235,2.339797,3.600751
182.000000,0.349422,2.000000,1527.674483,15.240925,2.329481,3.582017
183.000000,0.347878,2.000000,1528.023134,15.244583,2.319186,3.564883
184.000000,0.346337,2.000000,1528.370242,15.248216,2.308914,3.548640
185.000000,0.344800,2.000000,1528.715811,15.251829,2.298670,3.532867
186.000000,0.343269,2.000000,1529.059846,15.255425,2.288462,3.517329
187.000000,0.341744,2.000000,1529.402353,15.259004,2.278294,3.501903
188.000000,0.340226,2.000000,1529.743338,15.262568,2.268170,3.486534
189.000000,0.338714,2.000000,1530.082808,15.266116,2.258092,3.471200
190.000000,0.337209,2.000000,1530.420769,15.269649,2.248059,3.455898
191.000000,0.335711,2.000000,1530.757229,15.273166,2.238071,3.440631
192.000000,0.334234,2.000000,1531.092098,15.276668,2.228225,3.425310
193.000000,0.332749,2.000000,1531.425589,15.280154,2.218325,3.410147
194.000000,0.331274,2.000000,1531.757600,15.283626,2.208490,3.395040
195.000000,0.329807,2.000000,1532.088140,15.287081,2.198711,3.379994
196.000000,0.328346,2.000000,1532.417217,15.290522,2.188974,3.365015
197.000000,0.326891,2.000000,1532.744836,15.293947,2.179272,3.350105
198.000000,0.325440,2.000000,1533.071002,15.297357,2.169602,3.335264
199.000000,0.323995,2.000000,1533.395720,15.300752,2.159969,3.320491
200.000000,0.322556,2.000000,1533.718996,15.304132,2.150373,3.305782
201.000000,0.321123,2.000000,1534.040835,15.307497,2.140819,3.291135
202.000000,0.319696,2.000000,1534.361245,15.310847,2.131308,3.276549
203.000000,0.318276,2.000000,1534.680231,15.314182,2.121839,3.262022
204.000000,0.316862,2.000000,1534.997800,15.317502,2.112412,3.247554
205.000000,0.315454,2.000000,1535.313958,15.320808,2.103028,3.233145
206.000000,0.314067,2.000000,1535.628621,15.324099,2.093777,3.218705
207.000000,0.312671,2.000000,1535.941990,15.327376,2.084475,3.204428
208.000000,0.311285,2.000000,1536.253968,15.330638,2.075233,3.190214
209.000000,0.309907,2.000000,1536.564564,15.333885,2.066044,3.176064
210.000000,0.308534,2.000000,1536.873785,15.337118,2.056895,3.161983
211.000000,0.307167,2.000000,1537.181635,15.340337,2.047777,3.147968
212.000000,0.305804,2.000000,1537.488121,15.343541,2.038691,3.134021
213.000000,0.304446,2.000000,1537.793246,15.346731,2.029638,3.120137
214.000000,0.303093,2.000000,1538.097016,15.349907,2.020622,3.106315
215.000000,0.301747,2.000000,1538.399436,15.353069,2.011644,3.092552
216.000000,0.300406,2.000000,1538.700512,15.356217,2.002706,3.078846
217.000000,0.299071,2.000000,1539.000251,15.359351,1.993809,3.065195
218.000000,0.297743,2.000000,1539.298658,15.362471,1.984951,3.051600
219.000000,0.296420,2.000000,1539.595740,15.365577,1.976133,3.038060
220.000000,0.295116,2.000000,1539.891416,15.368669,1.967440,3.024491
221.000000,0.293805,2.000000,1540.185876,15.371748,1.958699,3.011076
222.000000,0.292502,2.000000,1540.479030,15.374813,1.950014,2.997719
223.000000,0.291207,2.000000,1540.770885,15.377865,1.941380,2.984423
224.000000,0.289917,2.000000,1541.061447,15.380903,1.932782,2.971191
225.000000,0.288632,2.000000,1541.350722,15.383927,1.924215,2.958022
226.000000,0.287352,2.000000,1541.638714,15.386938,1.915677,2.944916
227.000000,0.286076,2.000000,1541.925428,15.389936,1.907170,2.931870
228.000000,0.284805,2.000000,1542.210868,15.392920,1.898698,2.918882
229.000000,0.283539,2.000000,1542.495040,15.395891,1.890262,2.905949
230.000000,0.282279,2.000000,1542.777950,15.398849,1.881863,2.893069
231.000000,0.281025,2.000000,1543.059603,15.401794,1.873502,2.880242
232.000000,0.279777,2.000000,1543.340004,15.404725,1.865179,2.867467
233.000000,0.278534,2.000000,1543.619159,15.407644,1.856892,2.854744
234.000000,0.277309,2.000000,1543.896995,15.410550,1.848724,2.841994
235.000000,0.276077,2.000000,1544.173687,15.413443,1.840510,2.829388
236.000000,0.274852,2.000000,1544.449151,15.416323,1.832350,2.816836
237.000000,0.273635,2.000000,1544.723396,15.419191,1.824236,2.804343
238.000000,0.272424,2.000000,1544.996425,15.422045,1.816157,2.791909
239.000000,0.271216,2.000000,1545.268245,15.424887,1.808107,2.779534
240.000000,0.270013,2.000000,1545.538860,15.427716,1.800084,2.767219
241.000000,0.268814,2.000000,1545.808273,15.430533,1.792090,2.754960
242.000000,0.267619,2.000000,1546.076490,15.433337,1.784129,2.742755
243.000000,0.266430,2.000000,1546.343515,15.436129,1.776202,2.730602
244.000000,0.265246,2.000000,1546.609353,15.438909,1.768310,2.718500
245.000000,0.264068,2.000000,1546.874011,15.441676,1.760453,2.706447
