Time,nz_c2_10.C_dot,nz_c2_10.Level,nz_c2_10.total_cases,nz_c2_10.deaths,nz_c2_10.Iu,nz_c2_10.Ic
0.000000,0.000000,0.000000,64.000000,0.000000,355.000000,64.000000
1.000000,50.036390,0.000000,108.398830,0.060001,500.363899,102.398736
2.000000,52.092768,0.000000,160.004795,0.120062,520.927679,147.998591
3.000000,50.816678,0.000000,211.525325,0.180636,508.166778,193.461736
4.000000,50.071468,0.000000,261.843185,0.243427,500.714682,237.500483
5.000000,51.165042,0.000000,312.295297,0.313189,511.650418,280.976425
6.000000,135.009698,4.000000,455.500345,0.399397,450.032327,415.560675
7.000000,124.902059,4.000000,584.992561,0.515493,416.340198,533.443287
8.000000,117.741498,4.000000,706.276437,0.675655,392.471660,638.710908
9.000000,109.567641,4.000000,820.113100,0.892757,365.225469,730.837423
10.000000,99.068204,4.000000,924.624089,1.180447,330.227348,806.579433
11.000000,86.847636,4.000000,1017.680444,1.555757,289.492121,862.104730
12.000000,74.180990,4.000000,1098.185615,2.036915,247.269965,894.494149
13.000000,62.186510,4.000000,1166.284232,2.636737,207.288368,902.610515
14.000000,51.531981,4.000000,1223.021427,3.356304,171.773269,887.390978
15.000000,42.463151,4.000000,1269.889719,4.182575,141.543837,851.632199
16.000000,34.945278,4.000000,1308.474521,5.090383,116.484260,799.436197
17.000000,28.801782,4.000000,1340.245682,6.047104,96.005940,735.535306
18.000000,23.810189,4.000000,1366.467503,7.017937,79.367296,664.673773
19.000000,19.754926,4.000000,1388.182346,7.970407,65.849755,591.141664
20.000000,16.449743,4.000000,1406.230670,8.877442,54.832476,518.486451
21.000000,13.742856,4.000000,1421.283915,9.718975,45.809520,449.386431
22.000000,8.432926,3.000000,1430.095252,10.482260,42.164632,381.869269
23.000000,7.711906,3.000000,1438.165759,11.161265,38.559528,322.039212
24.000000,7.042352,3.000000,1445.537054,11.755482,35.211760,269.988831
25.000000,6.459865,3.000000,1452.280477,12.268418,32.299327,225.438672
26.000000,5.970865,3.000000,1458.488742,12.706026,29.854324,187.886191
27.000000,5.559246,3.000000,1464.248522,13.075429,27.796228,156.705670
28.000000,5.201662,3.000000,1469.625582,13.384201,26.008309,131.205460
29.000000,4.878177,3.000000,1474.663468,13.640088,24.390886,110.654623
30.000000,4.575965,3.000000,1479.389267,13.850863,22.879826,94.302996
31.000000,4.288632,3.000000,1483.820606,14.024112,21.443159,81.409436
32.000000,4.013991,3.000000,1487.971020,14.166942,20.069954,71.276831
33.000000,3.751955,3.000000,1491.853051,14.285690,18.759773,63.284099
34.000000,3.503114,3.000000,1495.479584,14.385728,17.515569,56.906809
35.000000,3.268003,3.000000,1498.864102,14.471404,16.340014,51.723694
36.000000,3.046829,3.000000,1502.020468,14.546092,15.234146,47.411238
37.000000,2.839455,3.000000,1504.962577,14.612319,14.197273,43.730705
38.000000,2.079205,2.000000,1507.070578,14.671920,13.861369,39.878534
39.000000,2.021428,2.000000,1509.121200,14.726204,13.476186,36.500777
40.000000,1.966112,2.000000,1511.114325,14.776085,13.107416,33.505803
41.000000,1.922637,2.000000,1513.057502,14.822187,12.817579,30.838777
42.000000,1.894019,2.000000,1514.964652,14.864900,12.626791,28.474603
43.000000,1.877722,2.000000,1516.849692,14.904431,12.518144,26.406607
44.000000,1.869056,2.000000,1518.722644,14.940877,12.460371,24.634903
45.000000,1.863794,2.000000,1520.588926,14.974329,12.425291,23.156006
46.000000,1.859205,2.000000,1522.450445,15.004942,12.394703,21.956251
47.000000,1.854001,2.000000,1524.307126,15.032969,12.360009,21.010273
48.000000,1.847848,2.000000,1526.158132,15.058745,12.318989,20.283642
49.000000,1.840882,2.000000,1528.002557,15.082651,12.272549,19.737477
50.000000,1.833376,2.000000,1529.839724,15.105067,12.222504,19.333045
51.000000,1.825573,2.000000,1531.669218,15.126340,12.170488,19.035171
52.000000,1.817640,2.000000,1533.490835,15.146767,12.117597,18.814156
53.000000,1.809666,2.000000,1535.304493,15.166581,12.064438,18.646385
54.000000,1.801693,2.000000,1537.110175,15.185961,12.011289,18.514049
55.000000,1.793738,2.000000,1538.907893,15.205035,11.958251,18.404345
56.000000,1.785804,2.000000,1540.697666,15.223892,11.905358,18.308488
57.000000,1.777893,2.000000,1542.479516,15.242588,11.852622,18.220726
58.000000,1.770009,2.000000,1544.253469,15.261160,11.800058,18.137469
59.000000,1.762152,2.000000,1546.019551,15.279630,11.747680,18.056597
60.000000,1.754326,2.000000,1547.777791,15.298009,11.695506,17.976928
61.000000,1.746532,2.000000,1549.528221,15.316304,11.643547,17.897855
62.000000,1.738772,2.000000,1551.270874,15.334518,11.591812,17.819101
63.000000,1.731046,2.000000,1553.005784,15.352652,11.540305,17.740561
64.000000,1.203569,1.000000,1554.187198,15.370708,12.035689,17.116431
65.000000,1.250600,1.000000,1555.414174,15.388684,12.506003,16.545755
66.000000,1.304359,1.000000,1556.690588,15.406580,13.043590,16.032598
67.000000,1.374812,1.000000,1558.028470,15.424379,13.748116,15.590614
68.000000,1.466071,1.000000,1559.447132,15.442022,14.660710,15.244924
69.000000,1.576649,1.000000,1560.966975,15.459394,15.766489,15.027622
70.000000,1.702794,1.000000,1562.605493,15.476340,17.027938,14.971490
71.000000,1.841241,1.000000,1564.376511,15.492729,18.412415,15.103628
72.000000,1.990340,1.000000,1566.291364,15.508503,19.903395,15.441086
73.000000,2.149977,1.000000,1568.360538,15.523708,21.499775,15.989718
74.000000,2.321037,1.000000,1570.594956,15.538490,23.210368,16.745957
75.000000,2.504847,1.000000,1573.006684,15.553065,25.048468,17.700167
76.000000,2.702840,1.000000,1575.609187,15.567689,27.028396,18.840250
77.000000,2.916412,1.000000,1578.417351,15.582627,29.164118,20.154607
