Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
0.000000,60458041.270178,2524.486548,631.121637,476.121637,155.000000,0.000000,0.000000,0.000000,155.000000,0.000000
1.000000,60457416.885028,2524.808167,626.770249,959.335909,209.723437,68.244304,16.804273,5.428633,227.600324,0.000000
2.000000,60456469.771605,2810.086600,652.705331,1362.209767,300.965400,177.766548,40.559072,13.935678,344.113349,0.000000
3.000000,60455210.977263,3308.157504,727.508801,1738.129914,420.129756,323.466463,74.244493,25.385806,499.113259,0.000000
4.000000,60453620.402991,3990.270197,850.806478,2136.590758,564.469777,505.216901,120.315310,39.927588,692.464788,0.000000
5.000000,60451650.765260,4858.014980,1020.855127,2596.476536,735.689790,727.037406,181.189003,57.971898,928.444049,0.000000
6.000000,60449230.874090,5933.744165,1239.268703,3149.481151,938.646402,996.226989,259.599371,80.159129,1214.815946,0.000000
7.000000,60446266.559633,7255.206805,1511.633671,3824.885773,1180.598258,1322.915636,358.853273,107.346952,1562.357059,0.000000
8.000000,60442639.154335,8873.527151,1847.209746,4653.470939,1470.945596,1720.029780,483.040919,140.621534,1984.818915,0.000000
9.000000,60438201.927615,10853.434964,2258.719544,5670.455145,1821.317480,2203.577484,637.239054,181.328715,2499.231366,0.000000
10.000000,60432774.766545,13274.993533,2762.452510,6917.852947,2245.898897,2793.179198,827.734235,231.122134,3126.467232,0.000000
11.000000,60427759.281953,14794.027023,3246.331847,8401.664246,2760.780317,3511.696617,1062.263119,291.954877,3890.847465,1.000000
12.000000,60421709.119699,16895.213180,3717.982629,10037.610455,3375.535471,4377.144798,1349.841455,365.552314,4811.537019,1.000000
13.000000,60414496.794492,19562.430142,4275.673187,11840.660635,4095.124211,5403.797526,1700.080768,453.439040,5903.720772,1.000000
14.000000,60405969.727246,22806.183513,4954.977257,13877.581035,4928.529880,6610.329547,2123.211459,557.460064,7187.265475,1.000000
15.000000,60395933.396901,26671.881141,5773.879673,16225.100406,5890.867059,8022.308683,2630.593647,679.972489,8689.370940,1.000000
16.000000,60384147.179171,31235.738979,6749.062814,18961.065401,7003.178466,9671.883414,3235.034473,824.857283,10444.976817,1.000000
17.000000,60374741.352259,32674.120472,7538.208980,22042.033465,8288.811152,11591.631801,3950.048709,1001.793163,12493.642412,2.000000
18.000000,60363872.710513,35091.089501,8147.356597,25163.956217,9748.694798,13797.857481,4791.684236,1214.650659,14853.943587,2.000000
19.000000,60351476.154443,38326.455748,8830.534467,28297.106672,11366.697729,16290.917043,5775.334553,1464.799344,17526.374335,2.000000
20.000000,60337478.594498,42264.487764,9658.838566,31547.199445,13133.572455,19076.303114,6915.064307,1753.939851,20516.939864,2.000000
21.000000,60321768.785118,46848.908588,10645.714855,35032.885737,15052.102317,22170.331851,8224.587995,2084.683540,23843.352851,2.000000
22.000000,60304197.269701,52069.647431,11791.647772,38855.620923,17135.337364,25599.539724,9718.343672,2460.593414,27534.407087,2.000000
23.000000,60284579.845792,57949.545360,13098.398502,43098.995065,19403.837584,29398.944502,11412.327711,2886.105485,31628.107641,2.000000
24.000000,60262700.217897,64534.755865,14572.466510,47835.180949,21883.553518,33610.672287,13324.691684,3366.461290,36170.189389,2.000000
25.000000,60238310.971774,71888.756299,16225.187293,53131.461175,24604.552090,38283.212485,15476.177906,3907.680979,41213.311730,2.000000
26.000000,60211133.031246,80089.020787,18072.079238,59055.204778,27600.413144,43471.208411,17890.467062,4516.575334,46816.831976,2.000000
27.000000,60205677.414331,67198.812012,18077.847624,64972.212026,30889.819370,49218.456293,20594.171504,5199.266840,53028.357003,3.000000
28.000000,60199848.551713,57498.143410,16341.538507,68817.341911,34339.224167,55424.288613,23609.940387,5948.971292,59738.712230,3.000000
29.000000,60193692.617297,50230.240304,14403.006782,70237.270977,37706.684236,61869.456547,26941.754157,6746.969701,66709.932320,3.000000
30.000000,60187344.980414,44737.539034,12711.824438,69744.080054,40791.303208,68351.592594,30572.503161,7574.177097,73722.288030,3.000000
31.000000,60180914.157142,40531.835395,11345.380042,67959.704996,43468.399492,74723.555570,34469.970260,8414.997104,80615.961213,3.000000
32.000000,60174480.853840,37257.473535,10267.612224,65399.561273,45679.901742,80891.287577,38593.586748,9257.723060,87288.749564,3.000000
33.000000,60168102.729563,34657.769007,9418.529522,62438.152652,47415.462952,86801.682533,42899.729998,10093.943773,93682.909628,3.000000
34.000000,60161819.833823,32548.309817,8742.440470,59328.715399,48695.271313,92430.325037,47345.314537,10917.789603,99771.850245,3.000000
35.000000,60155659.249873,30796.878307,8194.735458,56233.144285,49557.045695,97771.691813,51889.983590,11725.270980,105549.496039,3.000000
36.000000,60149638.692741,29308.739324,7741.717437,53248.774926,50047.013462,102832.013314,56497.288557,12513.760238,111022.537786,3.000000
37.000000,60143769.182221,28015.998134,7358.603747,50429.091487,50214.006479,107624.327278,61135.185950,13281.604704,116205.062205,3.000000
38.000000,60138056.988680,26869.952428,7027.396568,47798.742971,50105.806463,112165.169970,65776.098620,14027.844300,121114.959677,3.000000
39.000000,60132505.034890,25835.614565,6735.099557,45364.054725,49767.039547,116472.433692,70396.715218,14752.007806,125771.598132,3.000000
40.000000,60127113.900340,24887.795036,6472.346391,43120.212433,49238.102202,120564.031145,74977.645697,15453.966757,130194.372900,3.000000
41.000000,60121882.538442,24008.304690,6232.385036,41056.072849,48554.751774,124457.105977,79503.010186,16133.831046,134401.849491,3.000000
42.000000,60116808.787591,23183.957037,6010.339012,39157.317151,47748.108905,128167.605583,83960.010228,16791.874493,138411.299605,3.000000
43.000000,60111889.734697,22405.142136,5802.674992,37408.464347,46844.901277,131710.088623,88338.512056,17428.481873,142238.491915,3.000000
44.000000,60107121.973318,21664.808588,5606.820892,35794.111155,45867.835986,135097.680107,92630.658681,18044.111274,145897.643024,3.000000
45.000000,60102501.786544,20957.736849,5420.892565,34299.654451,44836.027780,138342.115288,96830.519110,18639.267414,149401.464796,3.000000
46.000000,60098025.276227,20280.020459,5243.498452,32911.673433,43765.437699,141453.833332,100933.777631,19214.482767,152761.265715,3.000000
47.000000,60093688.453933,19628.695660,5073.600029,31618.092956,42669.294978,144442.095375,104937.462805,19770.304265,155987.078711,3.000000
48.000000,60089487.304635,19001.476907,4910.412145,30408.210430,41558.487212,147315.110820,108839.713888,20307.283963,159087.797942,3.000000
49.000000,60085417.830986,18396.567958,4753.331835,29272.641551,40441.911687,150080.162033,112639.581403,20825.972548,162071.313835,3.000000
50.000000,60081476.083763,17812.526897,4601.887483,28203.221383,39326.785706,152743.721732,116336.858186,21326.914851,164944.640237,3.000000
51.000000,60077658.182491,17248.169654,4455.702491,27192.884444,38218.916815,155311.560153,119931.937155,21810.646797,167714.030460,3.000000
52.000000,60073960.329081,16702.500999,4314.469319,26235.538719,37122.935518,157788.840767,123425.692219,22277.693378,170385.080941,3.000000
53.000000,60070378.816527,16174.665148,4177.930920,25325.942624,36042.493934,160180.204462,126819.379048,22728.567337,172962.822391,3.000000
54.000000,60066910.034102,15663.910372,4045.867446,24459.590050,34980.434212,162489.842709,130114.552734,23163.768375,175451.799015,3.000000
55.000000,60063550.470091,15169.563593,3918.086737,23632.606064,33938.930473,164721.560599,133312.999731,23583.782712,177856.136758,3.000000
56.000000,60060296.712790,14691.012129,3794.417490,22841.654213,32919.607881,166878.830780,136416.681809,23989.082909,180179.601690,3.000000
57.000000,60057145.450308,14227.690525,3674.704350,22083.855395,31923.642118,168964.839380,139427.690070,24380.127853,182425.649711,3.000000
58.000000,60054093.469535,13779.071037,3558.804381,21356.717667,30951.842211,170982.524939,142348.207347,24757.362883,184597.468690,3.000000
59.000000,60051137.654539,13344.656705,3446.584507,20658.076052,30004.719285,172934.611339,145180.477591,25121.219982,186698.014099,3.000000
60.000000,60048274.984596,12923.976302,3337.919661,19986.041295,29082.543486,174823.635587,147926.781031,25472.118042,188730.039073,3.000000
61.000000,60045502.531969,12516.580607,3232.691429,19338.956471,28185.391002,176651.971238,150589.414133,25810.463151,190696.119762,3.000000
62.000000,60042817.459542,12122.039631,3130.787061,18715.360411,27313.182810,178421.848136,153170.673497,26136.648913,192598.676678,3.000000
63.000000,60040217.018370,11739.940530,3032.098725,18113.956986,26465.716550,180135.369046,155672.843017,26451.056776,194439.992695,3.000000
64.000000,60037698.545199,11369.886013,2936.522960,17533.589374,25642.692694,181794.523690,158098.183701,26754.056370,196222.228227,3.000000
65.000000,60035259.459979,11011.493096,2843.960250,16973.218563,24843.735972,183401.200601,160448.925699,27046.005840,197947.434056,3.000000
66.000000,60032897.263400,10664.392117,2754.314701,16431.905411,24068.412906,184957.197162,162727.262117,27327.252186,199617.562186,3.000000
67.000000,60030609.534465,10328.225942,2667.493777,15908.795696,23316.246109,186464.228128,164935.344294,27598.131590,201234.475061,3.000000
68.000000,60028393.928108,10002.649291,2583.408097,15403.107666,22586.725921,187923.932885,167075.278289,27858.969742,202799.953419,3.000000
69.000000,60026248.172870,9687.328181,2501.971261,14914.121682,21879.319867,189337.881656,169149.122324,28110.082160,204315.703004,3.000000
70.000000,60024170.068622,9381.939430,2423.099704,14441.171583,21193.480304,190707.580832,171158.885027,28351.774498,205783.360331,3.000000
71.000000,60022157.484365,9086.170225,2346.712571,13983.637505,20528.650603,192034.477575,173106.524310,28584.342848,207204.497667,3.000000
72.000000,60020208.356073,8799.717724,2272.731605,13540.939893,19884.270105,193319.963809,174993.946755,28808.074037,208580.627353,3.000000
73.000000,60018320.684612,8522.288699,2201.081047,13112.534495,19259.778098,194565.379713,176823.007424,29023.245913,209913.205574,3.000000
74.000000,60016492.533714,8253.599199,2131.687546,12697.908189,18654.616969,195772.016779,178595.509985,29230.127620,211203.635676,3.000000
75.000000,60014722.028010,7993.374234,2064.480072,12296.575481,18068.234702,196941.120524,180313.207110,29428.979869,212453.271102,3.000000
76.000000,60013007.351124,7741.347479,1999.389839,11908.075559,17500.086822,198073.892902,181977.801071,29620.055203,213663.417999,3.000000
77.000000,60011346.743831,7497.260992,1936.350230,11531.969823,16949.637912,199171.494466,183590.944500,29803.598246,214835.337562,3.000000
78.000000,60009738.502257,7260.864941,1875.296724,11167.839786,16416.362754,200235.046319,185154.241267,29979.845952,215970.248146,3.000000
79.000000,60008180.976153,7031.917348,1816.166830,10815.285297,15899.747185,201265.631885,186669.247459,30149.027844,217069.327187,3.000000
80.000000,60006672.567204,6810.183833,1758.900020,10473.923028,15399.288718,202264.298533,188137.472420,30311.366245,218133.712958,3.000000
81.000000,60005211.727407,6595.437381,1703.437670,10143.385172,14914.496967,203232.059064,189560.379838,30467.076501,219164.506185,3.000000
82.000000,60003796.957487,6387.458106,1649.722996,9823.318329,14444.893913,204169.893092,190939.388876,30616.367203,220162.771542,3.000000
83.000000,60002426.805367,6186.033027,1597.700997,9513.382531,13990.014054,205078.616821,192275.681927,30759.765275,221129.539039,3.000000
84.000000,60001099.864690,5990.955852,1547.318401,9213.250403,13549.404451,205958.707132,193569.945265,30898.553806,222065.805327,3.000000
85.000000,59999814.773377,5802.026767,1498.523607,8922.606415,13122.624692,206811.032947,194823.444053,31032.968143,222972.534917,3.000000
86.000000,59998570.212241,5619.052234,1451.266637,8641.146228,12709.246793,207636.471775,196037.458106,31163.145986,223850.661330,3.000000
87.000000,59997364.903636,5441.844794,1405.499081,8368.576112,12308.855058,208435.873022,197213.227585,31289.220713,224701.088189,3.000000
88.000000,59996197.610153,5270.222877,1361.174049,8104.612422,11921.045885,209210.058959,198351.954144,31411.321511,225524.690250,3.000000
89.000000,59995067.133354,5104.010618,1318.246126,7848.981123,11545.427561,209959.825651,199454.802060,31529.573507,226322.314389,3.000000
90.000000,59993972.312551,4943.037677,1276.671323,7601.417365,11181.620015,210685.943835,200522.899338,31644.097898,227094.780543,3.000000
91.000000,59992912.023611,4787.139067,1236.407032,7361.665087,10829.254570,211389.159770,201557.338791,31755.012072,227842.882602,3.000000
92.000000,59991885.177817,4636.154987,1197.411986,7129.476658,10487.973679,212070.196045,202559.179103,31862.429727,228567.389277,3.000000
93.000000,59990890.720744,4489.930658,1159.646213,6904.612544,10157.430646,212729.752351,203529.445860,31966.460986,229269.044921,3.000000
94.000000,59989927.631188,4348.316167,1123.070999,6686.840992,9837.289353,213368.506233,204469.132558,32067.212512,229948.570328,3.000000
95.000000,59988994.920118,4211.166314,1087.648846,6475.937745,9527.223980,213987.113804,205379.201580,32164.787614,230606.663489,3.000000
96.000000,59988091.629664,4078.340465,1053.343435,6271.685766,9226.918720,214586.210440,206260.585160,32259.286351,231244.000336,3.000000
97.000000,59987216.832137,3949.702408,1020.119589,6073.874978,8936.067508,215166.411442,207114.186301,32350.805637,231861.235444,3.000000
98.000000,59986369.629080,3825.120215,987.943238,5882.302026,8654.373739,215728.312683,207940.879685,32439.439336,232459.002721,3.000000
99.000000,59985549.150346,3704.466108,956.781382,5696.770038,8381.549996,216272.491224,208741.512545,32525.278362,233037.916063,3.000000
100.000000,59984754.553211,3587.616326,926.602061,5517.088413,8117.317786,216799.505920,209516.905518,32608.410766,233598.569995,3.000000
101.000000,59983985.021506,3474.451004,897.374318,5343.072602,7861.407273,217309.897992,210267.853473,32688.921832,234141.540285,3.000000
